gene,id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,nSNP,OR,OR_lo,OR_hi,FDR_pooled,risk,MHC_gene,instrument_chr,sensitivity_testable,FDR_stratum,risk_fdr
KBTBD7,eqtl-a-ENSG00000120696,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000120696 || id:eqtl-a-ENSG00000120696,Wald ratio,1,-0.054062002435141,0.0840327004642824,0.520000380682236,1,0.947373365225134,0.803509640819994,1.11699505213412,0.889846765258505,ns,FALSE,13,FALSE,0.89177424171589,ns
TBC1D15,eqtl-a-ENSG00000121749,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000121749 || id:eqtl-a-ENSG00000121749,Wald ratio,1,0.0341138875250868,0.0530258318475068,0.520000461978777,1,1.0347024397182,0.932564703354472,1.14802665692554,0.889846765258505,ns,FALSE,12,FALSE,0.89177424171589,ns
WBP4,eqtl-a-ENSG00000120688,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000120688 || id:eqtl-a-ENSG00000120688,Wald ratio,1,0.0467054569811953,0.0725978740014482,0.520000461978777,1,1.04781333751978,0.908839856255779,1.20803767872539,0.889846765258505,ns,FALSE,13,FALSE,0.89177424171589,ns
ARHGAP17,eqtl-a-ENSG00000140750,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000140750 || id:eqtl-a-ENSG00000140750,Wald ratio,1,0.0642491385758213,0.0998676699035333,0.520001740928217,1,1.06635803659237,0.876786732672536,1.29691682119673,0.889846765258505,ns,FALSE,16,FALSE,0.89177424171589,ns
COG2,eqtl-a-ENSG00000135775,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000135775 || id:eqtl-a-ENSG00000135775,Wald ratio,1,-0.0598606271777004,0.0930462491438101,0.520001740928217,1,0.941895799112447,0.784874634286241,1.13033044722162,0.889846765258505,ns,FALSE,1,FALSE,0.89177424171589,ns
PLA2G12A,eqtl-a-ENSG00000123739,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000123739 || id:eqtl-a-ENSG00000123739,Wald ratio,1,-0.0423003106139044,0.0657508186233659,0.520001740928217,1,0.958581865034236,0.842676692157302,1.09042910587705,0.889846765258505,ns,FALSE,4,FALSE,0.89177424171589,ns
RUVBL1,eqtl-a-ENSG00000175792,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000175792 || id:eqtl-a-ENSG00000175792,Wald ratio,1,-0.0354119466828277,0.0550436734305577,0.520001740928217,1,0.965207720229823,0.866496207528218,1.07516447861765,0.889846765258505,ns,FALSE,3,FALSE,0.89177424171589,ns
GOLGA3,eqtl-a-ENSG00000090615,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000090615 || id:eqtl-a-ENSG00000090615,Inverse variance weighted,2,0.0534839991307333,0.0832056008799674,0.520358259538538,2,1.05494011167373,0.896193456003837,1.24180625484663,0.889846765258505,ns,FALSE,12,FALSE,0.89177424171589,ns
SRGN,eqtl-a-ENSG00000122862,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000122862 || id:eqtl-a-ENSG00000122862,Inverse variance weighted,2,0.0247393394778648,0.0386879875260918,0.522525089334573,2,1.02504789617869,0.950193989202082,1.10579860681154,0.889846765258505,ns,FALSE,10,FALSE,0.89177424171589,ns
FTSJ3,eqtl-a-ENSG00000108592,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000108592 || id:eqtl-a-ENSG00000108592,Inverse variance weighted,2,0.0436097591164313,0.0683107066484589,0.523211387538953,2,1.04457463960972,0.913676027625158,1.194226558129,0.889846765258505,ns,FALSE,17,FALSE,0.89177424171589,ns
