gene,logFC,adj.P.Val,module,GS_RA,kME_own
NBAS,-0.279225935066835,4.79689627294764e-09,brown,-0.538,0.763
PDIA4,-0.278902272075055,4.38753602644179e-08,brown,-0.438,0.559
GABBR1,-0.278900963744745,6.16155967558703e-06,brown,-0.433,0.724
DSERG1,-0.278489819380674,0.000323933899387052,brown,-0.31,0.619
GMCL1,0.278197219138073,5.27096073400228e-07,yellow,0.484,0.824
SLC7A11,0.278075962758142,0.00121094452548617,yellow,0.339,0.586
PTBP1,-0.278050305888492,3.87337300388952e-10,brown,-0.582,0.897
HYOU1,-0.277919908398761,7.81645771293e-07,brown,-0.432,0.721
MTHFD1,-0.277879433043102,3.99434742367306e-07,brown,-0.468,0.693
NOP2,-0.277370790331028,2.28616979952991e-10,brown,-0.534,0.688
SUN2,-0.277113606588485,7.12824476019021e-08,brown,-0.473,0.848
SNRNP200,-0.276883391993957,1.4472205504237e-09,brown,-0.515,0.738
ERAP2,-0.276510263277046,0.0195610726903625,brown,-0.229,0.375
TAF15,-0.276185175091551,8.98547788117239e-07,brown,-0.45,0.773
DPAGT1,-0.276095447597785,1.84007180842342e-09,brown,-0.571,0.83
POMT1,-0.275996666649627,7.58795982242542e-07,brown,-0.456,0.632
ANGPT1,0.275973958213003,0.0289185094135865,yellow,0.262,0.424
EHMT1,-0.27576569705495,1.95147997357032e-09,brown,-0.465,0.654
TAB3,0.275763533227474,2.1123451149669e-06,yellow,0.418,0.874
KIF3B,-0.275575353214423,1.25984255807152e-07,brown,-0.491,0.681
SEC31B,-0.275548339524494,2.39907428907319e-06,brown,-0.455,0.692
TCOF1,-0.275438340880668,6.67291636272666e-08,brown,-0.481,0.765
HSDL2,0.275420650879676,0.000687560239676892,yellow,0.336,0.746
DACH1,0.275343181584308,0.00846281860684444,yellow,0.322,0.51
TSPAN2,0.275088085784354,0.00100592299299999,yellow,0.298,0.558
LPAR5,-0.275031034186857,4.1305467831206e-06,brown,-0.399,0.534
PARP1,-0.275029195306828,4.24411927135451e-08,brown,-0.516,0.727
IL11RA,-0.274731368312847,6.18332298699278e-06,brown,-0.431,0.544
EHMT2,-0.274562192247616,3.88061329139447e-05,brown,-0.382,0.742
CENPW,0.274354611330096,6.77394252888801e-05,yellow,0.369,0.43
BAZ1A,0.273315411041345,2.32720097556952e-08,yellow,0.514,0.891
ITPKB,-0.273151518502094,9.67067148523128e-07,brown,-0.443,0.792
TMEM229B,-0.272949817053516,6.49837692680943e-05,brown,-0.347,0.709
TSEN54,-0.272600622514077,8.74713055709377e-07,brown,-0.393,0.634
TAF1C,-0.272197097736502,4.89745337231731e-08,brown,-0.519,0.738
UEVLD,0.271886658122947,5.21027161475378e-05,yellow,0.392,0.724
CNDP2,-0.27186342974645,7.12809090675651e-07,brown,-0.468,0.774
CIZ1,-0.271786160828866,5.0288353745428e-07,brown,-0.474,0.769
DCUN1D1,0.271488540788017,2.2870259322747e-06,yellow,0.409,0.777
ASS1,-0.271244473617747,0.00402715915287822,brown,-0.288,0.511
AGTPBP1,0.269877823443185,1.75380202952313e-05,yellow,0.395,0.746
RANGAP1,-0.269860715883551,3.22197969640585e-08,brown,-0.511,0.792
SRRM2,-0.269851402645634,8.56891301835124e-09,brown,-0.534,0.785
RNF141,0.269420368491121,2.63906554466467e-05,yellow,0.357,0.766
CXXC5,-0.269327029394267,5.279835670256e-07,brown,-0.401,0.48
LETM1,-0.269153065032471,3.47334072874056e-08,brown,-0.491,0.805
SMYD5,-0.269033779417026,7.26478667618478e-06,brown,-0.426,0.473
YPEL5,0.268619579968534,2.28616979952991e-10,yellow,0.58,0.862
PIP4K2B,-0.268534764266951,7.09677410057694e-09,brown,-0.525,0.858
UBQLN4,-0.268483185396832,6.59589124235402e-09,brown,-0.525,0.733
ZNF562,-0.267847955068846,3.17736858996035e-07,brown,-0.457,0.725
STK38L,0.267702274792803,1.4932626315611e-07,yellow,0.458,0.898
BTN3A3,-0.267200798950333,6.9831532812992e-06,brown,-0.413,0.748
TNPO2,-0.267116655296467,4.0612025499663e-09,brown,-0.533,0.731
NMI,0.2667047458457,3.7667909418753e-07,yellow,0.484,0.712
RIMS3,-0.266663867243243,5.83157940792398e-05,brown,-0.377,0.464
AARS2,-0.266440833464811,4.46364459893005e-07,brown,-0.469,0.669
MCCC2,-0.26639204839475,1.08525464795859e-07,brown,-0.486,0.821
TNRC6A,-0.266349751088582,6.72773740814311e-08,brown,-0.499,0.871
SYMPK,-0.266345723693049,2.16435997834024e-08,brown,-0.486,0.693
ARRDC3,0.266314054398843,1.52554328958123e-06,yellow,0.466,0.784
RHOF,-0.265888024329922,1.68385097381906e-07,brown,-0.472,0.864
NUP62,-0.265838385886697,3.9473197870991e-08,brown,-0.532,0.788
MYO5A,0.265829768322851,1.78830724837686e-05,yellow,0.393,0.84
MCTP1,0.26554276508714,0.0301407442842415,yellow,0.229,0.457
PRPF6,-0.264187180169992,1.6414427930937e-07,brown,-0.488,0.759
PKN2,0.264076003748131,2.15991367789778e-05,yellow,0.453,0.828
ACO2,-0.263512402736923,1.27130337601576e-06,brown,-0.442,0.736
EDEM3,0.263164291992349,9.38945930802599e-05,yellow,0.421,0.782
SREBF2,-0.263129982660151,3.91549184466935e-09,brown,-0.551,0.63
TRAP1,-0.263004102081167,2.35271217896235e-07,brown,-0.47,0.733
ZNF396,0.262724704919293,0.00167130783849881,yellow,0.309,0.48
CREG1,0.26258017256177,4.07678593483996e-05,yellow,0.35,0.398
COG1,-0.262396777623435,1.04870833674638e-07,brown,-0.473,0.752
ERGIC2,0.262198908824406,5.61397212867074e-06,yellow,0.461,0.777
CBLB,-0.262183405257564,3.94849372416975e-07,brown,-0.448,0.646
PITRM1,-0.261933930884259,4.88798096184456e-07,brown,-0.468,0.806
CASC4,0.261885810221325,1.07798864800857e-05,yellow,0.416,0.881
SIAH1,0.261728309555579,5.69042034306338e-07,yellow,0.46,0.841
UBE2G2,-0.261290989299746,6.09453957066013e-08,brown,-0.458,0.71
CD59,0.261207452701048,7.94715015336586e-05,yellow,0.37,0.502
TSR1,-0.260988043806398,1.11160719518061e-07,brown,-0.434,0.62
APOBEC3F,-0.260959688400666,2.64571702823135e-05,brown,-0.368,0.671
VEGFA,0.260807376459374,0.000558766638001532,yellow,0.344,0.641
PI4KA,-0.260789414068483,4.72813315437049e-08,brown,-0.492,0.726
LSG1,-0.260727924329391,3.81282495159159e-06,brown,-0.411,0.62
IFNGR1,0.260687240223173,1.83615059471285e-07,yellow,0.478,0.893
SCARB1,-0.260625411773894,8.17033212516076e-07,brown,-0.414,0.414
FKBP2,-0.260499821474845,1.65463826667368e-08,brown,-0.458,0.675
ACAD9,-0.260484757098204,3.7667909418753e-07,brown,-0.436,0.632
ACOT13,0.260147430221868,9.37292838915402e-08,yellow,0.487,0.579
AP3D1,-0.260074399561338,2.17967447136683e-09,brown,-0.558,0.749
MCM3AP,-0.259943349821953,7.11655430841683e-11,brown,-0.575,0.801
SNX10,0.259847250557983,6.4575806320761e-06,yellow,0.426,0.913
NIN,0.259778299248248,6.8016089169869e-09,yellow,0.492,0.886
CARD11,-0.259684805900735,9.34905937143601e-09,brown,-0.478,0.676
MDM4,-0.259665413806469,3.76200885485967e-08,brown,-0.474,0.742
CUL9,-0.259329408329971,2.76384770316478e-08,brown,-0.51,0.762
EZR,-0.25832087079414,7.10422168844138e-08,brown,-0.524,0.775
ELAC2,-0.258255390320709,2.47962212504708e-06,brown,-0.447,0.734
ZNF703,-0.257777382884063,0.0194831231064073,brown,-0.291,0.553
LARS,-0.256777323395479,2.10002110177961e-08,brown,-0.509,0.78
FTSJ3,-0.256531602053628,3.18099176604498e-07,brown,-0.483,0.767
ENO1,-0.256403594192271,5.79475620804061e-07,brown,-0.455,0.783
AMT,-0.25628436994827,2.17758375944459e-06,brown,-0.468,0.689
THAP6,0.256237929473647,0.00140230617070864,yellow,0.363,0.665
RNF146,0.256219055530729,3.35645531654832e-09,yellow,0.505,0.794
CAD,-0.256176969895034,1.31070343168214e-07,brown,-0.436,0.69
FYN,-0.256055920073806,5.93323059409401e-08,brown,-0.491,0.822
FBXL4,0.255426970295767,5.72077185728103e-07,yellow,0.429,0.571
FKBP4,-0.255312245249388,1.55521630960174e-06,brown,-0.452,0.728
CSGALNACT1,0.255150893176838,0.00679183537008188,yellow,0.265,0.603
TMEM131,-0.255142899508091,1.07840932770582e-08,brown,-0.547,0.724
FXYD5,-0.255126965342186,2.38150455913788e-06,brown,-0.425,0.858
CD86,0.255070399742302,2.78914190109761e-05,yellow,0.306,0.374
TRIM28,-0.255057390074324,2.18027831476849e-06,brown,-0.473,0.815
ALDH18A1,-0.255053393462578,2.7438597687864e-07,brown,-0.398,0.627
RLF,0.254920457923628,1.17799332913331e-05,yellow,0.441,0.806
RALGDS,-0.254768497960884,4.29500970865441e-05,brown,-0.36,0.535
ZC3H7B,-0.254552464448828,2.20557938194616e-05,brown,-0.386,0.537
GANAB,-0.254518297311567,1.25984255807152e-07,brown,-0.496,0.861
TXLNA,-0.254370932352544,2.94707354102042e-07,brown,-0.42,0.747
CD37,-0.254321836980531,5.46305730215868e-06,brown,-0.424,0.753
XPO5,-0.253458868087855,5.50402492386641e-07,brown,-0.421,0.694
BIRC6,-0.253300708886138,3.21918756789933e-05,brown,-0.416,0.596
ACSS1,-0.253165473503217,3.53511131269012e-07,brown,-0.477,0.774
SSBP3,-0.253032662183705,0.00179820882410769,brown,-0.34,0.646
DDB1,-0.252947441626451,4.42999126288195e-07,brown,-0.484,0.73
FMNL3,-0.252931028017343,0.000164363776804373,brown,-0.341,0.484
PITPNM2,-0.252768022976986,0.000314155789971874,brown,-0.319,0.606
C6orf106,-0.252524788517347,2.63054119457321e-08,brown,-0.488,0.855
FBXO31,-0.252468218665275,6.18280585997655e-07,brown,-0.454,0.727
MTM1,0.252374410811502,7.57054779474541e-07,yellow,0.453,0.69
GALC,0.252225513061362,1.60794780289289e-06,yellow,0.44,0.801
HMGA1,-0.251896208750941,2.12819956611724e-06,brown,-0.405,0.786
POLR1A,-0.251855792062953,0.000581823455837761,brown,-0.298,0.388
PACSIN1,-0.25151345459831,1.836068933694e-05,brown,-0.361,0.403
ICAM2,-0.251441764763139,2.66446305040882e-06,brown,-0.446,0.818
DDX19A,-0.251287857796646,4.2715508343609e-06,brown,-0.429,0.642
SSRP1,-0.251090795210038,1.22771255465792e-08,brown,-0.537,0.874
REEP3,0.250992472914295,1.83942844309757e-06,yellow,0.416,0.765
RAI1,-0.25096728941231,1.25984255807152e-07,brown,-0.439,0.433
PRMT1,-0.250540967360934,5.29497769540164e-07,brown,-0.438,0.684
NDUFV1,-0.250366881394264,5.52297010513142e-08,brown,-0.515,0.847
LMBRD1,0.25012742316821,4.44960363392178e-08,yellow,0.472,0.81
POM121,-0.249654471438026,7.4339944277483e-06,brown,-0.452,0.68
RAB21,0.249654213117627,6.25990533177135e-08,yellow,0.458,0.805
TATDN2,-0.249649202634828,8.9681241596426e-09,brown,-0.516,0.838
ZNF264,-0.249436216606666,3.59907534649407e-07,brown,-0.412,0.578
KRI1,-0.249157432809371,1.25984255807152e-07,brown,-0.471,0.67
HNRNPUL1,-0.249056385282159,2.12224613338224e-09,brown,-0.54,0.846
OTUD7B,-0.249036271134307,0.000329309463530531,brown,-0.297,0.391
SEC31A,-0.248824834289921,2.01094527812554e-08,brown,-0.521,0.873
TCTN1,-0.248647899607704,6.22520895779145e-05,brown,-0.352,0.335
RASA3,-0.248601858963158,8.18248301508086e-06,brown,-0.396,0.781
TET2,0.248595896191585,3.81708881315994e-05,yellow,0.382,0.889
SCMH1,-0.248574891236044,2.24146429506684e-05,brown,-0.349,0.524
GSDMB,-0.248294615093767,0.000369899629091926,brown,-0.378,0.578
ST3GAL1,-0.248099471771518,1.71820059425755e-06,brown,-0.417,0.726
XRCC6,-0.2480819976072,6.83672276484724e-07,brown,-0.489,0.879
RBM6,-0.247980012160107,3.76806662328411e-06,brown,-0.428,0.68
