gene,logFC,adj.P.Val,module,GS_RA,kME_own
ZBTB45,-0.303428246701186,0.000402983329651263,brown,-0.24,0.561
SIPA1L3,-0.303006364851368,0.00020706646576601,brown,-0.447,0.68
CIAO1,-0.302832406068341,0.00274026848996274,brown,-0.435,0.525
PTPN9,-0.302690860384627,0.00525077425994411,brown,-0.161,0.365
SFPQ,-0.302546499028232,0.000197255200348716,brown,-0.419,0.584
PRMT1,-0.302499128556074,0.00167964998442742,brown,-0.438,0.684
ITFG2,-0.302479156296292,0.0170033781800561,brown,-0.26,0.45
TRIM62,-0.302144446774778,0.00190527576737514,brown,-0.296,0.517
ERI3,-0.302003543814785,0.00101580862558895,brown,-0.283,0.566
GAR1,-0.301776138082344,0.00431935405421172,brown,-0.278,0.535
IMP4,-0.301585175094243,0.000104318251256307,brown,-0.37,0.701
BRD9,-0.301329219401291,1.97556317441598e-05,brown,-0.48,0.757
CAD,-0.30129603838817,0.00209496676049051,brown,-0.436,0.69
PPARD,-0.301203330927096,0.000543999623322573,brown,-0.435,0.609
SLC20A2,-0.300964403837627,0.00285395980087992,brown,-0.259,0.341
JMJD8,-0.300910158059323,0.00119489545566865,brown,-0.444,0.665
GALK2,-0.300632420528903,0.00583053974542277,brown,-0.325,0.646
ADCK1,-0.300303968709478,0.0262233279098556,brown,-0.149,0.368
SPHK2,-0.300273743946893,0.000873291969319773,brown,-0.328,0.535
CDK10,-0.299888417038058,0.0123735155041433,brown,-0.442,0.616
ZHX2,-0.299751014656387,0.000148680496648102,brown,-0.448,0.618
COPS7B,-0.299292756992933,7.69747591116111e-06,brown,-0.457,0.669
HNRNPA0,-0.299283980611158,0.000948881212007746,brown,-0.425,0.618
SFI1,-0.299140792588463,0.0030882874871355,brown,-0.367,0.556
H1FX,-0.299130347355236,0.0040326635603577,brown,-0.281,0.732
MYCBP2,-0.299116864396201,7.26844470922515e-05,brown,-0.56,0.818
PRRT2,-0.299010909329148,0.002154781471403,brown,-0.318,0.452
FOXK1,-0.298958489143681,0.000246905327399468,brown,-0.459,0.686
CNTROB,-0.298829525500037,0.000784742144598196,brown,-0.252,0.47
USP24,-0.298709006313443,0.000985057434913,brown,-0.426,0.604
BCS1L,-0.298672849399292,0.0130476721297234,brown,-0.361,0.599
NR2C2AP,-0.298439018424928,0.000261972102646781,brown,-0.441,0.63
NCOR1,-0.298408775351895,0.000244129597180805,brown,-0.401,0.676
PPP1R15B,0.298117718482745,0.00074038471454805,yellow,0.424,0.758
PEA15,-0.298081341905464,0.000669072521056006,brown,-0.168,0.365
KLHDC3,-0.298021380072169,0.000232868962692259,brown,-0.316,0.575
NKTR,-0.297935024809153,0.00341992492355166,brown,-0.448,0.758
THOC6,-0.297928844351661,0.00014077866722764,brown,-0.395,0.584
EMD,-0.297797974128783,0.00187371567293123,brown,-0.359,0.67
PXMP4,-0.2976790973017,0.0120173886067765,brown,-0.146,0.363
ENDOG,-0.297479388635498,0.00711563393413365,brown,-0.236,0.5
NDUFA11,-0.29739684275487,0.000124974587091876,brown,-0.348,0.707
SAT2,-0.297380698469601,6.60203826754392e-05,brown,-0.294,0.511
GPATCH8,-0.29702677224029,0.000911702376824334,brown,-0.453,0.736
ABCF3,-0.296445933465555,0.000140289510364908,brown,-0.443,0.78
CRY2,-0.296398778111556,0.000874087538478161,brown,-0.418,0.709
NECAP1,0.296385611403746,0.00244725010672547,yellow,0.406,0.726
