sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Female,GALNT3,yellow,0.435785572483992,9.43318403021294e-09,Up in RA,0.866,0.533
Female,SLC16A6,yellow,0.433075915289966,1.71773045547262e-09,Up in RA,0.629,0.472
Female,STX7,yellow,0.429313217179884,5.13609812399248e-11,Up in RA,0.89,0.576
Female,SPTAN1,brown,-0.428789344069454,9.29237158595678e-09,Down in RA,0.848,-0.503
Female,TMEM65,yellow,0.428505116074679,1.04870833674638e-07,Up in RA,0.873,0.468
Female,BAZ2B,yellow,0.428387230553957,5.25246244515136e-08,Up in RA,0.899,0.481
Female,IKZF3,brown,-0.427654893546534,3.15739550613633e-07,Down in RA,0.615,-0.411
Female,PPP1R12A,yellow,0.426328640471599,7.1029753851041e-10,Up in RA,0.916,0.536
Female,EXOC8,yellow,0.425775470810312,1.2122422839904e-08,Up in RA,0.933,0.507
Female,RAB18,yellow,0.424758991584683,2.76305518279653e-08,Up in RA,0.877,0.524
Female,SLFN12,yellow,0.424610367103159,1.1922270718258e-06,Up in RA,0.611,0.433
Female,THAP1,yellow,0.424410055248963,1.66686662821591e-08,Up in RA,0.855,0.48
Female,IL18R1,yellow,0.424261983225626,9.00448303095422e-05,Up in RA,0.646,0.403
Female,KYNU,yellow,0.422020867954346,8.11778292099379e-07,Up in RA,0.381,0.402
Female,MPP7,yellow,0.420392947923512,3.81746411089299e-08,Up in RA,0.777,0.485
Female,RRM2B,yellow,0.419764301216777,1.26780764818156e-08,Up in RA,0.939,0.508
Female,KIAA0754,brown,-0.418276865058188,1.52509740034853e-06,Down in RA,0.744,-0.43
Female,TAF7,yellow,0.414877744578732,9.71320815209457e-10,Up in RA,0.86,0.534
Female,CDC25B,brown,-0.414333245458984,9.47438799765167e-09,Down in RA,0.861,-0.523
Female,TXNDC17,yellow,0.414272599398767,1.13831099342042e-08,Up in RA,0.745,0.493
Female,FAR1,yellow,0.411638068518395,1.86004621536445e-09,Up in RA,0.951,0.519
Female,SCRN3,yellow,0.411448717149179,1.15668878048713e-07,Up in RA,0.815,0.477
Female,RP2,yellow,0.411444643622294,6.25990533177135e-08,Up in RA,0.91,0.485
Female,MFN1,yellow,0.410981986543022,1.80254641743675e-07,Up in RA,0.843,0.455
Female,FAM160B1,yellow,0.410312862591448,1.44754820124831e-09,Up in RA,0.923,0.553
Female,CHUK,yellow,0.409783383004685,1.16402443025146e-08,Up in RA,0.917,0.505
Female,CD248,brown,-0.409668277312444,5.73940031983035e-06,Down in RA,0.352,-0.359
Female,ACSL4,yellow,0.407684638611877,1.12992700342853e-07,Up in RA,0.88,0.476
Female,ZC3H12C,yellow,0.405274901322636,2.60233888362002e-06,Up in RA,0.616,0.361
Female,SP3,yellow,0.403313956448669,3.3496814994832e-09,Up in RA,0.946,0.52
Female,GMFB,yellow,0.402868262891169,8.22088200254364e-09,Up in RA,0.843,0.521
Female,MTMR6,yellow,0.402319658126581,1.4472205504237e-09,Up in RA,0.936,0.52
Female,IFRD1,yellow,0.402274155138699,3.40917858178804e-07,Up in RA,0.825,0.474
Female,STXBP5,yellow,0.401584109355476,3.60905492465892e-06,Up in RA,0.719,0.42
Female,C4orf33,yellow,0.400905816581123,3.18099176604498e-07,Up in RA,0.772,0.471
Female,CXCR3,brown,-0.399636781257779,1.18978886749007e-06,Down in RA,0.607,-0.435
Female,ZNRF2,yellow,0.398401765566997,3.59809381897217e-08,Up in RA,0.826,0.453
Female,THAP5,yellow,0.398055939732173,7.29414696161414e-06,Up in RA,0.862,0.408
Female,STAG3L3,brown,-0.396255664325311,6.60956556554907e-08,Down in RA,0.824,-0.462
Female,NFATC3,brown,-0.395610046752708,1.4472205504237e-09,Down in RA,0.874,-0.555
Female,BLZF1,yellow,0.395505315470091,8.93250931829678e-07,Up in RA,0.801,0.465
Female,RPGR,yellow,0.39352015391444,1.29069059982855e-05,Up in RA,0.841,0.39
Female,USP36,brown,-0.392441259156692,1.3736565250047e-09,Down in RA,0.842,-0.547
Female,MAGED1,brown,-0.391419485317875,2.69459181006284e-12,Down in RA,0.804,-0.61
Female,ARID4B,yellow,0.390364093653524,6.31666316196482e-09,Up in RA,0.878,0.488
Female,DSC2,yellow,0.389786914575782,0.0021433078372585,Up in RA,0.626,0.328
Female,FBXO30,yellow,0.389547755446243,1.7830615089072e-08,Up in RA,0.849,0.486
Female,TMC8,brown,-0.387515134174888,1.28642612222209e-09,Down in RA,0.829,-0.55
Female,STRN3,yellow,0.387139780846426,1.17131013112249e-08,Up in RA,0.858,0.485
Female,GLG1,brown,-0.386519360329931,1.37283614392827e-08,Down in RA,0.817,-0.519
Female,CD58,yellow,0.385834524233233,1.1529004488626e-08,Up in RA,0.803,0.487
Female,HEATR5A,yellow,0.384191307051928,7.58795982242542e-07,Up in RA,0.83,0.435
Female,CPEB4,yellow,0.383961949417061,4.03228730859606e-08,Up in RA,0.939,0.471
Female,B3GNT2,yellow,0.383008740877282,2.73420129919161e-07,Up in RA,0.825,0.485
Female,CCNT2,yellow,0.382801736916696,1.48163622225089e-07,Up in RA,0.787,0.444
Female,C4orf32,yellow,0.382556293894586,5.65176807777139e-07,Up in RA,0.791,0.467
Female,SPOPL,yellow,0.381970301007235,4.63771330407928e-09,Up in RA,0.955,0.505
Female,ESYT1,brown,-0.381338540358349,2.06649143232768e-10,Down in RA,0.864,-0.571
Female,PDGFC,yellow,0.380578938470858,4.47052077089683e-05,Up in RA,0.578,0.327
Female,HORMAD1,yellow,0.380472254159809,2.50822486763716e-06,Up in RA,0.747,0.462
Female,CDKN2B,yellow,0.37994920005524,2.32757583048935e-06,Up in RA,0.461,0.402
Female,SLFN5,brown,-0.379726040289187,9.38498747494504e-08,Down in RA,0.541,-0.367
Female,BAG4,yellow,0.379088427288454,1.3529351101841e-08,Up in RA,0.829,0.488
Female,ITGB7,brown,-0.377959742137149,7.09677410057694e-09,Down in RA,0.838,-0.512
Female,JAG1,yellow,0.377328762523176,5.26354205740844e-06,Up in RA,0.751,0.405
Female,ST8SIA4,yellow,0.37564223282076,1.41046330927684e-07,Up in RA,0.907,0.46
Female,SGMS1,yellow,0.374726229198995,7.29414696161414e-06,Up in RA,0.889,0.393
Female,LXN,yellow,0.374310519366234,1.66390392905412e-06,Up in RA,0.744,0.436
Female,SLC25A40,yellow,0.374054526134759,8.21297890551731e-08,Up in RA,0.845,0.462
