gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
VARS2,-0.164299060465725,6.43376993722159,-4.3920459477282,1.88627310405748e-05,7.76732574170795e-05,TRUE,Down in RA
POU6F1,-0.279200927714498,6.74285417694003,-4.39114259146604,1.89338273876777e-05,7.79456571198652e-05,TRUE,Down in RA
RPLP2,-0.155193534317468,10.2649975746898,-4.39103218871874,1.89425339780385e-05,7.79611391895096e-05,TRUE,Down in RA
MRPL39,0.236137119028616,6.64395295317771,4.39065947499375,1.89719553623028e-05,7.80618460913544e-05,TRUE,Up in RA
CLCN6,-0.153984521299716,6.29406358730367,-4.38998034914717,1.9025677245266e-05,7.82624609648036e-05,TRUE,Down in RA
CUL2,0.11936436906754,7.65355504088503,4.3896640714784,1.905074604153e-05,7.83451369299862e-05,TRUE,Up in RA
IL12RB2,-0.199849462622372,3.79611057203696,-4.38925070034332,1.90835584763292e-05,7.84376906223579e-05,TRUE,Down in RA
ZNF783,-0.124261262780982,5.75091050444321,-4.38922638639872,1.90854901491927e-05,7.84376906223579e-05,TRUE,Down in RA
PPP1R10,-0.216192843300588,7.46585383486557,-4.38919253330236,1.90881799928545e-05,7.84376906223579e-05,TRUE,Down in RA
RNF31,-0.179271424032626,6.41342136762643,-4.38807851158965,1.91768994484325e-05,7.87817216590152e-05,TRUE,Down in RA
CSF1R,-0.255723293515246,7.93475638246344,-4.38783073733038,1.91966856680962e-05,7.88424586206879e-05,TRUE,Down in RA
HMGB1,0.109649031798871,11.1556543957325,4.38756911357184,1.9217599125411e-05,7.89077923974612e-05,TRUE,Up in RA
GATA1,-0.354693324281119,6.40439879164724,-4.3867314333773,1.92847081438407e-05,7.91627225185835e-05,TRUE,Down in RA
C18orf8,-0.120190527680798,8.83851018032344,-4.38629175010109,1.93200224460085e-05,7.92870382234918e-05,TRUE,Down in RA
TAX1BP1,0.142218290423412,9.91512922277476,4.38616910221887,1.9329884298392e-05,7.93068626224762e-05,TRUE,Up in RA
ACOT7,-0.216091330233354,5.35992458277132,-4.38578264977391,1.93609897243583e-05,7.94138123926774e-05,TRUE,Down in RA
ANAPC16,-0.12288007300823,10.3059661191401,-4.38497301058284,1.94263131886509e-05,7.96610236193297e-05,TRUE,Down in RA
MPHOSPH8,-0.133980364538651,10.4263537163035,-4.38468230832972,1.94498192696235e-05,7.97366712996293e-05,TRUE,Down in RA
TPR,-0.174070227909516,9.6812646811713,-4.38279621311013,1.96029928980141e-05,8.03437277824741e-05,TRUE,Down in RA
SFMBT1,-0.167361115132232,6.09915388718222,-4.38272032343175,1.96091802257593e-05,8.03481954506481e-05,TRUE,Down in RA
MIPEP,-0.175212931269837,4.52634069392579,-4.38179251475027,1.96849767240819e-05,8.06378087582388e-05,TRUE,Down in RA
IFT88,0.183938002404166,6.58978562124448,4.3810310871799,1.97473909200785e-05,8.08724663739146e-05,TRUE,Up in RA
STX3,0.212142571483742,9.75028871528275,4.37985032383584,1.98445539352472e-05,8.12492736834551e-05,TRUE,Up in RA
TMEM144,0.316176088204545,5.70408150112546,4.37942168120604,1.98799396230082e-05,8.13730169507862e-05,TRUE,Up in RA
TBC1D10B,-0.183210970547719,7.08074815875166,-4.37659820477906,2.01145438281478e-05,8.22905669252775e-05,TRUE,Down in RA
RGL1,0.201319378113333,6.11240312856508,4.37437388573701,2.03012329172051e-05,8.30134660145505e-05,TRUE,Up in RA
SERAC1,0.205225301572081,5.97610295659254,4.37436743148974,2.030177704029e-05,8.30134660145505e-05,TRUE,Up in RA
MAP3K8,0.246230940196746,7.37727040964927,4.37387119680578,2.03436538731552e-05,8.31631265566768e-05,TRUE,Up in RA
PIK3IP1,-0.203587299605859,9.77681025284327,-4.37344187800707,2.03799506151945e-05,8.32899044716906e-05,TRUE,Down in RA
SH2B3,-0.141889539478872,9.22328217084272,-4.37252853276534,2.04573762558951e-05,8.35630012753758e-05,TRUE,Down in RA
RHOG,-0.192797954655021,10.2055069869563,-4.37055721775664,2.06254510350803e-05,8.42277162347075e-05,TRUE,Down in RA
SLC30A5,0.149973253519845,7.51250706821398,4.36913685691304,2.07473719938104e-05,8.47036583109126e-05,TRUE,Up in RA
SNX22,-0.349404763835414,7.15497070554458,-4.36871708908333,2.0783536253505e-05,8.48293324609007e-05,TRUE,Down in RA
IPMK,0.307372580764104,5.45634023003037,4.36692376114215,2.09387193414424e-05,8.54405987520467e-05,TRUE,Up in RA
