sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Male,TPCN1,brown,-0.491549095795293,3.7573624496305e-05,Down in RA,0.492,-0.272
Male,ENO3,brown,-0.491481270869582,0.00039883109598873,Down in RA,0.635,-0.378
Male,COQ2,yellow,0.491208371868894,9.54762525563296e-05,Up in RA,0.667,0.537
Male,UBE2D1,yellow,0.491021352728286,4.61250019855293e-05,Up in RA,0.699,0.314
Male,NFATC2,brown,-0.490978977334761,4.91497341925742e-05,Down in RA,0.785,-0.482
Male,SPAST,yellow,0.490936236552288,5.66631460705369e-06,Up in RA,0.877,0.515
Male,STXBP5,yellow,0.490443340948682,0.0030168430733124,Up in RA,0.719,0.42
Male,GSTP1,brown,-0.489244696345342,2.1581429036233e-06,Down in RA,0.7,-0.357
Male,ZNF609,brown,-0.487428024757365,9.0529158619236e-05,Down in RA,0.763,-0.513
Male,SCFD2,brown,-0.487042870544731,5.21242181389919e-06,Down in RA,0.576,-0.36
Male,TRIM44,brown,-0.486428303899978,5.55853051044949e-07,Down in RA,0.869,-0.516
Male,TAF1C,brown,-0.486314879719788,7.96723789020629e-06,Down in RA,0.738,-0.519
Male,REEP3,yellow,0.48552550378357,8.31906837956111e-06,Up in RA,0.765,0.416
Male,COLQ,brown,-0.485467010235058,0.00295640134464651,Down in RA,0.476,-0.416
Male,RSBN1L,yellow,0.484865149657576,0.0013113147669003,Up in RA,0.437,0.271
Male,ESYT1,brown,-0.484406173903333,3.68027202396079e-06,Down in RA,0.864,-0.571
Male,TMEM30A,yellow,0.483871498237709,0.00040626104492102,Up in RA,0.851,0.414
Male,POLD2,brown,-0.483338913654679,3.66075040094076e-05,Down in RA,0.809,-0.512
Male,ABL1,brown,-0.482180617312422,1.03851858647962e-05,Down in RA,0.571,-0.38
Male,NF2,brown,-0.480964307792561,4.28960259153985e-06,Down in RA,0.834,-0.398
Male,IKZF1,brown,-0.480962013663006,7.8091669166214e-06,Down in RA,0.778,-0.495
Male,DCP2,yellow,0.48069768180325,4.41705458128891e-06,Up in RA,0.881,0.484
Male,CPD,yellow,0.480100114719679,0.000154155382492133,Up in RA,0.774,0.394
Male,DDX24,brown,-0.479093618932592,2.98060648555257e-06,Down in RA,0.882,-0.554
Male,GDPD5,brown,-0.478635264584453,0.000703841496909619,Down in RA,0.564,-0.388
Male,C5orf45,brown,-0.478105957268446,4.57877411881421e-07,Down in RA,0.607,-0.369
Male,LPGAT1,yellow,0.478053002370633,8.16448729635636e-07,Up in RA,0.915,0.542
Male,BAZ1A,yellow,0.477741831812151,3.32994287978889e-07,Up in RA,0.891,0.514
Male,ENTPD5,brown,-0.477322475340252,3.73972269561034e-05,Down in RA,0.545,-0.298
Male,C22orf34,brown,-0.477206150399095,0.000496303251165563,Down in RA,0.462,-0.318
Male,GANC,brown,-0.476847248892667,0.000228009619007364,Down in RA,0.57,-0.317
Male,VTA1,yellow,0.476227094537167,3.35073803520721e-05,Up in RA,0.825,0.454
Male,FAM105A,yellow,0.47613450188564,5.3128608062676e-05,Up in RA,0.8,0.452
Male,FEM1C,yellow,0.475752755685188,0.000214497528119956,Up in RA,0.73,0.52
Male,LRRK2,yellow,0.47571193738563,8.22029391349832e-06,Up in RA,0.859,0.509
Male,ACACA,brown,-0.475151173887986,3.88611046065887e-05,Down in RA,0.679,-0.475
Male,SF3B3,brown,-0.474776207640885,2.6000515590672e-06,Down in RA,0.894,-0.567
Male,DSE,yellow,0.474604011391249,0.0002777996839266,Up in RA,0.749,0.345
Male,PAPOLG,yellow,0.474570180247785,7.64154025743768e-05,Up in RA,0.835,0.385
Male,TET2,yellow,0.474329047875172,0.00017750973271977,Up in RA,0.889,0.382
Male,DNAH1,brown,-0.473771658372549,2.54234198188994e-06,Down in RA,0.685,-0.447
Male,CAPN3,brown,-0.473633585559947,4.28249858567692e-06,Down in RA,0.568,-0.393
Male,STK38L,yellow,0.473330828494389,3.77627203113122e-06,Up in RA,0.898,0.458
Male,SARS,brown,-0.473196544158436,4.96755150484526e-07,Down in RA,0.886,-0.513
Male,STIP1,brown,-0.473117551599913,0.000110436044069691,Down in RA,0.707,-0.437
Male,SPAG9,yellow,0.47273728708915,1.80053393616941e-05,Up in RA,0.77,0.327
Male,SLC7A11,yellow,0.472473183472896,0.000305271708936982,Up in RA,0.586,0.339
Male,PIP4K2B,brown,-0.471996215146052,1.39955065725348e-06,Down in RA,0.858,-0.525
Male,GNL3L,brown,-0.471666611604047,5.52588745606282e-06,Down in RA,0.717,-0.482
Male,GSDMB,brown,-0.471250715780795,0.000662629240518657,Down in RA,0.578,-0.378
Male,NUDCD3,brown,-0.471195919161853,5.78033097475751e-07,Down in RA,0.885,-0.491
Male,CYP1B1,yellow,0.470322311176095,0.0196056020435356,Up in RA,0.493,0.245
Male,NFATC2IP,brown,-0.469986419442666,6.60102950797507e-05,Down in RA,0.819,-0.494
Male,CHTF8,brown,-0.469905018524117,2.13814169793964e-06,Down in RA,0.781,-0.391
Male,TNRC6A,brown,-0.469829078970528,2.32222079415337e-06,Down in RA,0.871,-0.499
Male,DENND1C,brown,-0.469741706774944,2.67810445509904e-05,Down in RA,0.834,-0.502
