gene,id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
ZNF589,eqtl-a-ENSG00000164048,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164048 || id:eqtl-a-ENSG00000164048,Inverse variance weighted,0.283906002783776,2,0.867662034435583
VNN2,eqtl-a-ENSG00000112303,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000112303 || id:eqtl-a-ENSG00000112303,MR Egger,0.000236092489516613,1,0.987740745566661
VNN2,eqtl-a-ENSG00000112303,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000112303 || id:eqtl-a-ENSG00000112303,Inverse variance weighted,0.0864251069678408,2,0.957707804300983
IK,eqtl-a-ENSG00000113141,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000113141 || id:eqtl-a-ENSG00000113141,MR Egger,0.00320882236655306,1,0.954826817627037
IK,eqtl-a-ENSG00000113141,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000113141 || id:eqtl-a-ENSG00000113141,Inverse variance weighted,0.798687631715855,2,0.67076004376394
ASPH,eqtl-a-ENSG00000198363,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000198363 || id:eqtl-a-ENSG00000198363,MR Egger,1.04585219298809,2,0.592783466153062
ASPH,eqtl-a-ENSG00000198363,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000198363 || id:eqtl-a-ENSG00000198363,Inverse variance weighted,3.1970359610676,3,0.362232313852507
BAZ2B,eqtl-a-ENSG00000123636,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000123636 || id:eqtl-a-ENSG00000123636,MR Egger,2.13066778635337,2,0.344612771702495
BAZ2B,eqtl-a-ENSG00000123636,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000123636 || id:eqtl-a-ENSG00000123636,Inverse variance weighted,3.07290043672236,3,0.380521364540409
C9orf72,eqtl-a-ENSG00000147894,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000147894 || id:eqtl-a-ENSG00000147894,MR Egger,0.000204995242997897,1,0.98857655446933
C9orf72,eqtl-a-ENSG00000147894,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000147894 || id:eqtl-a-ENSG00000147894,Inverse variance weighted,0.0718291525802235,2,0.964722700155392
ATP8B4,eqtl-a-ENSG00000104043,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000104043 || id:eqtl-a-ENSG00000104043,MR Egger,3.52201057015038,2,0.171871996594167
ATP8B4,eqtl-a-ENSG00000104043,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000104043 || id:eqtl-a-ENSG00000104043,Inverse variance weighted,3.57124028977093,3,0.311639355161698
CPNE8,eqtl-a-ENSG00000139117,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000139117 || id:eqtl-a-ENSG00000139117,MR Egger,0.0103989304289298,1,0.918776402735786
CPNE8,eqtl-a-ENSG00000139117,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000139117 || id:eqtl-a-ENSG00000139117,Inverse variance weighted,2.65385780065034,2,0.265290745837676
LTBP3,eqtl-a-ENSG00000168056,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000168056 || id:eqtl-a-ENSG00000168056,MR Egger,1.67287121543399,2,0.433252054766402
LTBP3,eqtl-a-ENSG00000168056,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000168056 || id:eqtl-a-ENSG00000168056,Inverse variance weighted,12.2012513130344,3,0.00672461330736154
LSG1,eqtl-a-ENSG00000041802,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000041802 || id:eqtl-a-ENSG00000041802,MR Egger,5.96469738965071,1,0.0145951052173374
LSG1,eqtl-a-ENSG00000041802,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000041802 || id:eqtl-a-ENSG00000041802,Inverse variance weighted,7.30228170836147,2,0.0259614935987499
CYP1B1,eqtl-a-ENSG00000138061,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000138061 || id:eqtl-a-ENSG00000138061,MR Egger,0.0201304708600092,1,0.887173298860839
CYP1B1,eqtl-a-ENSG00000138061,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000138061 || id:eqtl-a-ENSG00000138061,Inverse variance weighted,0.0688094081625334,2,0.966180408349214
ARHGAP32,eqtl-a-ENSG00000134909,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000134909 || id:eqtl-a-ENSG00000134909,MR Egger,0.119253077158582,1,0.729846003581227
ARHGAP32,eqtl-a-ENSG00000134909,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000134909 || id:eqtl-a-ENSG00000134909,Inverse variance weighted,1.44613031016158,2,0.485262569036574
EP400,eqtl-a-ENSG00000183495,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000183495 || id:eqtl-a-ENSG00000183495,MR Egger,0.178986034882551,1,0.672246078001724
EP400,eqtl-a-ENSG00000183495,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000183495 || id:eqtl-a-ENSG00000183495,Inverse variance weighted,2.11931563979621,2,0.346574380899627
PFKP,eqtl-a-ENSG00000067057,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000067057 || id:eqtl-a-ENSG00000067057,MR Egger,1.34856181209835,3,0.717635149580525
PFKP,eqtl-a-ENSG00000067057,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000067057 || id:eqtl-a-ENSG00000067057,Inverse variance weighted,1.86926083466064,4,0.759789309948861
PITRM1,eqtl-a-ENSG00000107959,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000107959 || id:eqtl-a-ENSG00000107959,MR Egger,3.70859400906903,1,0.0541329719338437
PITRM1,eqtl-a-ENSG00000107959,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000107959 || id:eqtl-a-ENSG00000107959,Inverse variance weighted,5.70840305232746,2,0.0576017962907226
RASA3,eqtl-a-ENSG00000185989,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000185989 || id:eqtl-a-ENSG00000185989,MR Egger,0.468337379386823,2,0.79122833257243
RASA3,eqtl-a-ENSG00000185989,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000185989 || id:eqtl-a-ENSG00000185989,Inverse variance weighted,6.05676524710959,3,0.108880897356064
