gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
PCSK7,FALSE,11,2,Inverse variance weighted,0.906,0.834,0.983,0.0184,0.396,2,Inverse variance weighted,0.906,0.834,0.983,0.0184,0.513,TRUE,ns in both,TRUE
PPARD,FALSE,6,2,Inverse variance weighted,1.36,1.053,1.756,0.0186,0.396,2,Inverse variance weighted,1.36,1.053,1.756,0.0186,0.513,TRUE,ns in both,TRUE
GSDMB,FALSE,17,5,Inverse variance weighted,0.846,0.736,0.973,0.0188,0.396,5,Inverse variance weighted,0.846,0.736,0.973,0.0188,0.513,TRUE,ns in both,TRUE
CLSTN1,FALSE,1,2,Inverse variance weighted,0.851,0.742,0.976,0.0208,0.432,2,Inverse variance weighted,0.851,0.742,0.976,0.0208,0.555,TRUE,ns in both,TRUE
CITED2,FALSE,6,3,Inverse variance weighted,0.864,0.762,0.979,0.0215,0.439,3,Inverse variance weighted,0.864,0.762,0.979,0.0215,0.555,TRUE,ns in both,TRUE
CHD3,FALSE,17,1,Wald ratio,0.703,0.519,0.95,0.022,0.439,1,Wald ratio,0.703,0.519,0.95,0.022,0.555,TRUE,ns in both,TRUE
SCMH1,FALSE,1,1,Wald ratio,1.803,1.089,2.985,0.022,0.439,1,Wald ratio,1.803,1.089,2.985,0.022,0.555,TRUE,ns in both,TRUE
SUN2,FALSE,22,2,Inverse variance weighted,0.917,0.852,0.988,0.0224,0.441,2,Inverse variance weighted,0.917,0.852,0.988,0.0224,0.555,TRUE,ns in both,TRUE
BNIP2,FALSE,15,1,Wald ratio,1.219,1.028,1.446,0.023,0.441,1,Wald ratio,1.219,1.028,1.446,0.023,0.555,TRUE,ns in both,TRUE
PGGT1B,FALSE,5,2,Inverse variance weighted,0.894,0.812,0.985,0.023,0.441,2,Inverse variance weighted,0.894,0.812,0.985,0.023,0.555,TRUE,ns in both,TRUE
KRAS,FALSE,12,2,Inverse variance weighted,1.51,1.056,2.159,0.0239,0.449,2,Inverse variance weighted,1.51,1.056,2.159,0.0239,0.561,TRUE,ns in both,TRUE
IPP,FALSE,1,1,Wald ratio,1.119,1.015,1.234,0.024,0.449,1,Wald ratio,1.119,1.015,1.234,0.024,0.561,TRUE,ns in both,TRUE
CASKIN2,FALSE,17,1,Wald ratio,1.402,1.041,1.888,0.026,0.47,1,Wald ratio,1.402,1.041,1.888,0.026,0.571,TRUE,ns in both,TRUE
RPN2,FALSE,20,1,Wald ratio,0.654,0.45,0.95,0.026,0.47,1,Wald ratio,0.654,0.45,0.95,0.026,0.571,TRUE,ns in both,TRUE
BAZ2B,FALSE,2,4,Inverse variance weighted,0.945,0.9,0.993,0.0262,0.47,4,Inverse variance weighted,0.945,0.9,0.993,0.0262,0.571,TRUE,ns in both,TRUE
IL2RB,FALSE,22,1,Wald ratio,1.399,1.039,1.885,0.027,0.47,1,Wald ratio,1.399,1.039,1.885,0.027,0.571,TRUE,ns in both,TRUE
NECAP1,FALSE,12,2,Inverse variance weighted,1.078,1.009,1.153,0.027,0.47,2,Inverse variance weighted,1.078,1.009,1.153,0.027,0.571,TRUE,ns in both,TRUE
ANXA6,FALSE,5,4,Inverse variance weighted,1.044,1.005,1.085,0.0274,0.47,4,Inverse variance weighted,1.044,1.005,1.085,0.0274,0.571,TRUE,ns in both,TRUE
NMI,FALSE,2,1,Wald ratio,1.07,1.007,1.137,0.028,0.47,1,Wald ratio,1.07,1.007,1.137,0.028,0.571,TRUE,ns in both,TRUE
PSMD3,FALSE,17,1,Wald ratio,0.842,0.723,0.982,0.028,0.47,1,Wald ratio,0.842,0.723,0.982,0.028,0.571,TRUE,ns in both,TRUE
PTPRS,FALSE,19,1,Wald ratio,0.717,0.532,0.965,0.028,0.47,1,Wald ratio,0.717,0.532,0.965,0.028,0.571,TRUE,ns in both,TRUE
BAG4,FALSE,8,1,Wald ratio,1.127,1.012,1.254,0.029,0.481,1,Wald ratio,1.127,1.012,1.254,0.029,0.583,TRUE,ns in both,TRUE
PLAC8L1,FALSE,5,1,Wald ratio,1.739,1.055,2.866,0.03,0.492,1,Wald ratio,1.739,1.055,2.866,0.03,0.595,TRUE,ns in both,TRUE
TSC1,FALSE,9,1,Wald ratio,1.264,1.022,1.563,0.031,0.503,1,Wald ratio,1.264,1.022,1.563,0.031,0.607,TRUE,ns in both,TRUE
DSC2,FALSE,18,1,Wald ratio,0.88,0.783,0.99,0.033,0.53,1,Wald ratio,0.88,0.783,0.99,0.033,0.637,TRUE,ns in both,TRUE
CCDC126,FALSE,7,2,Inverse variance weighted,0.93,0.871,0.994,0.0336,0.533,2,Inverse variance weighted,0.93,0.871,0.994,0.0336,0.64,TRUE,ns in both,TRUE
FNDC3A,FALSE,13,3,Inverse variance weighted,1.203,1.014,1.427,0.0341,0.537,3,Inverse variance weighted,1.203,1.014,1.427,0.0341,0.642,TRUE,ns in both,TRUE
CCNT2,FALSE,2,1,Wald ratio,0.531,0.294,0.959,0.036,0.546,1,Wald ratio,0.531,0.294,0.959,0.036,0.645,TRUE,ns in both,TRUE
USP34,FALSE,2,1,Wald ratio,1.183,1.011,1.383,0.036,0.546,1,Wald ratio,1.183,1.011,1.383,0.036,0.645,TRUE,ns in both,TRUE
TMEM65,FALSE,8,2,Inverse variance weighted,0.762,0.59,0.983,0.0361,0.546,2,Inverse variance weighted,0.762,0.59,0.983,0.0361,0.645,TRUE,ns in both,TRUE
ANKMY1,FALSE,2,1,Wald ratio,0.558,0.323,0.965,0.037,0.546,1,Wald ratio,0.558,0.323,0.965,0.037,0.645,TRUE,ns in both,TRUE
ODF2,FALSE,9,1,Wald ratio,1.155,1.009,1.323,0.037,0.546,1,Wald ratio,1.155,1.009,1.323,0.037,0.645,TRUE,ns in both,TRUE
TOB2,FALSE,22,1,Wald ratio,1.272,1.015,1.595,0.037,0.546,1,Wald ratio,1.272,1.015,1.595,0.037,0.645,TRUE,ns in both,TRUE
OAT,FALSE,10,4,Inverse variance weighted,1.111,1.006,1.227,0.0379,0.555,4,Inverse variance weighted,1.111,1.006,1.227,0.0379,0.654,TRUE,ns in both,TRUE
LMF1,FALSE,16,1,Wald ratio,1.128,1.006,1.264,0.039,0.565,1,Wald ratio,1.128,1.006,1.264,0.039,0.662,TRUE,ns in both,TRUE
EIF3G,FALSE,19,1,Wald ratio,1.444,1.017,2.05,0.04,0.566,1,Wald ratio,1.444,1.017,2.05,0.04,0.662,TRUE,ns in both,TRUE
SLC25A40,FALSE,7,1,Wald ratio,1.689,1.024,2.784,0.04,0.566,1,Wald ratio,1.689,1.024,2.784,0.04,0.662,TRUE,ns in both,TRUE
ST3GAL1,FALSE,8,2,Inverse variance weighted,0.891,0.799,0.995,0.0403,0.566,2,Inverse variance weighted,0.891,0.799,0.995,0.0403,0.662,TRUE,ns in both,TRUE
WDR1,FALSE,4,1,Wald ratio,0.865,0.753,0.994,0.041,0.571,1,Wald ratio,0.865,0.753,0.994,0.041,0.667,TRUE,ns in both,TRUE
TELO2,FALSE,16,2,Inverse variance weighted,0.853,0.732,0.995,0.0424,0.585,2,Inverse variance weighted,0.853,0.732,0.995,0.0424,0.682,TRUE,ns in both,TRUE
R3HCC1,FALSE,8,2,Inverse variance weighted,0.819,0.676,0.994,0.0431,0.589,2,Inverse variance weighted,0.819,0.676,0.994,0.0431,0.685,TRUE,ns in both,TRUE
DOK2,FALSE,8,2,Inverse variance weighted,0.935,0.875,0.998,0.045,0.61,2,Inverse variance weighted,0.935,0.875,0.998,0.045,0.708,TRUE,ns in both,TRUE
DVL2,FALSE,17,1,Wald ratio,1.262,1.004,1.586,0.046,0.612,1,Wald ratio,1.262,1.004,1.586,0.046,0.709,TRUE,ns in both,TRUE
REPS1,FALSE,6,1,Wald ratio,0.757,0.576,0.995,0.046,0.612,1,Wald ratio,0.757,0.576,0.995,0.046,0.709,TRUE,ns in both,TRUE
TRAPPC6B,FALSE,14,2,Inverse variance weighted,1.19,1.002,1.413,0.0476,0.627,2,Inverse variance weighted,1.19,1.002,1.413,0.0476,0.72,TRUE,ns in both,TRUE
GCA,FALSE,2,1,Wald ratio,0.737,0.545,0.997,0.048,0.627,1,Wald ratio,0.737,0.545,0.997,0.048,0.72,TRUE,ns in both,TRUE
UBA3,FALSE,3,1,Wald ratio,1.404,1.001,1.969,0.049,0.635,1,Wald ratio,1.404,1.001,1.969,0.049,0.72,TRUE,ns in both,TRUE
ZDHHC14,FALSE,6,2,Inverse variance weighted,0.879,0.772,1,0.0504,0.644,2,Inverse variance weighted,0.879,0.772,1,0.0504,0.72,TRUE,ns in both,TRUE
ARFIP1,FALSE,4,3,Inverse variance weighted,0.955,0.913,1,0.0506,0.644,3,Inverse variance weighted,0.955,0.913,1,0.0506,0.72,TRUE,ns in both,TRUE
DDX51,FALSE,12,1,Wald ratio,0.707,0.499,1.002,0.051,0.644,1,Wald ratio,0.707,0.499,1.002,0.051,0.72,TRUE,ns in both,TRUE
TWF1,FALSE,12,1,Wald ratio,0.703,0.492,1.003,0.052,0.651,1,Wald ratio,0.703,0.492,1.003,0.052,0.72,TRUE,ns in both,TRUE
ABCF2,FALSE,7,1,Wald ratio,0.906,0.82,1.001,0.053,0.652,1,Wald ratio,0.906,0.82,1.001,0.053,0.72,TRUE,ns in both,TRUE
MIER1,FALSE,1,1,Wald ratio,0.937,0.877,1.001,0.053,0.652,1,Wald ratio,0.937,0.877,1.001,0.053,0.72,TRUE,ns in both,TRUE
MAD1L1,FALSE,7,3,Inverse variance weighted,1.091,0.999,1.193,0.0538,0.652,3,Inverse variance weighted,1.091,0.999,1.193,0.0538,0.72,TRUE,ns in both,TRUE
MYO1G,FALSE,7,1,Wald ratio,1.57,0.992,2.486,0.054,0.652,1,Wald ratio,1.57,0.992,2.486,0.054,0.72,TRUE,ns in both,TRUE
MTCH2,FALSE,11,1,Wald ratio,1.277,0.995,1.64,0.055,0.652,1,Wald ratio,1.277,0.995,1.64,0.055,0.72,TRUE,ns in both,TRUE
LRCH3,FALSE,3,1,Wald ratio,0.704,0.49,1.012,0.058,0.652,1,Wald ratio,0.704,0.49,1.012,0.058,0.72,TRUE,ns in both,TRUE
PIGL,FALSE,17,1,Wald ratio,1.133,0.996,1.29,0.058,0.652,1,Wald ratio,1.133,0.996,1.29,0.058,0.72,TRUE,ns in both,TRUE
UBE2Z,FALSE,17,3,Inverse variance weighted,1.079,0.997,1.168,0.0584,0.652,3,Inverse variance weighted,1.079,0.997,1.168,0.0584,0.72,TRUE,ns in both,TRUE
ANKH,FALSE,5,2,Inverse variance weighted,1.12,0.996,1.26,0.0586,0.652,2,Inverse variance weighted,1.12,0.996,1.26,0.0586,0.72,TRUE,ns in both,TRUE
ENGASE,FALSE,17,3,Inverse variance weighted,1.074,0.997,1.157,0.0589,0.652,3,Inverse variance weighted,1.074,0.997,1.157,0.0589,0.72,TRUE,ns in both,TRUE
GZMM,FALSE,19,1,Wald ratio,0.636,0.397,1.017,0.059,0.652,1,Wald ratio,0.636,0.397,1.017,0.059,0.72,TRUE,ns in both,TRUE
C11orf54,FALSE,11,3,Inverse variance weighted,0.893,0.793,1.005,0.0594,0.652,3,Inverse variance weighted,0.893,0.793,1.005,0.0594,0.72,TRUE,ns in both,TRUE
DDX46,FALSE,5,2,Inverse variance weighted,0.746,0.551,1.012,0.0595,0.652,2,Inverse variance weighted,0.746,0.551,1.012,0.0595,0.72,TRUE,ns in both,TRUE
MORC2,FALSE,22,1,Wald ratio,0.878,0.767,1.005,0.06,0.652,1,Wald ratio,0.878,0.767,1.005,0.06,0.72,TRUE,ns in both,TRUE
PRPF18,FALSE,10,1,Wald ratio,0.789,0.616,1.01,0.06,0.652,1,Wald ratio,0.789,0.616,1.01,0.06,0.72,TRUE,ns in both,TRUE
RNF145,FALSE,5,1,Wald ratio,0.869,0.75,1.006,0.06,0.652,1,Wald ratio,0.869,0.75,1.006,0.06,0.72,TRUE,ns in both,TRUE
IFNGR1,FALSE,6,1,Wald ratio,1.184,0.992,1.412,0.061,0.652,1,Wald ratio,1.184,0.992,1.412,0.061,0.72,TRUE,ns in both,TRUE
PEMT,FALSE,17,1,Wald ratio,0.86,0.734,1.007,0.061,0.652,1,Wald ratio,0.86,0.734,1.007,0.061,0.72,TRUE,ns in both,TRUE
REPIN1,FALSE,7,1,Wald ratio,1.102,0.996,1.221,0.061,0.652,1,Wald ratio,1.102,0.996,1.221,0.061,0.72,TRUE,ns in both,TRUE
HMGXB4,FALSE,22,1,Wald ratio,1.187,0.991,1.421,0.062,0.652,1,Wald ratio,1.187,0.991,1.421,0.062,0.72,TRUE,ns in both,TRUE
NUDC,FALSE,1,1,Wald ratio,1.363,0.983,1.889,0.063,0.652,1,Wald ratio,1.363,0.983,1.889,0.063,0.72,TRUE,ns in both,TRUE
ARHGAP32,FALSE,11,3,Inverse variance weighted,0.904,0.812,1.006,0.0632,0.652,3,Inverse variance weighted,0.904,0.812,1.006,0.0632,0.72,TRUE,ns in both,TRUE
IRF3,FALSE,19,2,Inverse variance weighted,0.851,0.717,1.009,0.0633,0.652,2,Inverse variance weighted,0.851,0.717,1.009,0.0633,0.72,TRUE,ns in both,TRUE
B3GNT2,FALSE,2,2,Inverse variance weighted,1.082,0.996,1.177,0.0636,0.652,2,Inverse variance weighted,1.082,0.996,1.177,0.0636,0.72,TRUE,ns in both,TRUE
BAZ1A,FALSE,14,1,Wald ratio,1.3,0.985,1.717,0.064,0.652,1,Wald ratio,1.3,0.985,1.717,0.064,0.72,TRUE,ns in both,TRUE
TECR,FALSE,19,1,Wald ratio,1.442,0.979,2.123,0.064,0.652,1,Wald ratio,1.442,0.979,2.123,0.064,0.72,TRUE,ns in both,TRUE
WDR77,FALSE,1,1,Wald ratio,1.364,0.982,1.894,0.064,0.652,1,Wald ratio,1.364,0.982,1.894,0.064,0.72,TRUE,ns in both,TRUE
ARL2,FALSE,11,2,Inverse variance weighted,0.816,0.657,1.013,0.0648,0.656,2,Inverse variance weighted,0.816,0.657,1.013,0.0648,0.72,TRUE,ns in both,TRUE
KHSRP,FALSE,19,1,Wald ratio,0.597,0.345,1.035,0.066,0.659,1,Wald ratio,0.597,0.345,1.035,0.066,0.72,TRUE,ns in both,TRUE
ZNF776,FALSE,19,1,Wald ratio,1.223,0.987,1.517,0.066,0.659,1,Wald ratio,1.223,0.987,1.517,0.066,0.72,TRUE,ns in both,TRUE
