gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
SLC22A15,FALSE,1,2,Inverse variance weighted,1.018,0.97,1.068,0.469,0.888,2,Inverse variance weighted,1.018,0.97,1.068,0.469,0.892,TRUE,ns in both,TRUE
DMPK,FALSE,19,1,Wald ratio,0.953,0.837,1.086,0.47,0.888,1,Wald ratio,0.953,0.837,1.086,0.47,0.892,TRUE,ns in both,TRUE
DTX3,FALSE,12,1,Wald ratio,0.912,0.711,1.171,0.47,0.888,1,Wald ratio,0.912,0.711,1.171,0.47,0.892,TRUE,ns in both,TRUE
FAM8A1,FALSE,6,1,Wald ratio,1.045,0.927,1.178,0.47,0.888,1,Wald ratio,1.045,0.927,1.178,0.47,0.892,TRUE,ns in both,TRUE
HNRNPUL1,FALSE,19,1,Wald ratio,1.067,0.895,1.271,0.47,0.888,1,Wald ratio,1.067,0.895,1.271,0.47,0.892,TRUE,ns in both,TRUE
IDH3A,FALSE,15,1,Wald ratio,1.395,0.565,3.446,0.47,0.888,1,Wald ratio,1.395,0.565,3.446,0.47,0.892,TRUE,ns in both,TRUE
IPO13,FALSE,1,1,Wald ratio,1.119,0.825,1.516,0.47,0.888,1,Wald ratio,1.119,0.825,1.516,0.47,0.892,TRUE,ns in both,TRUE
PRPSAP1,FALSE,17,1,Wald ratio,0.918,0.729,1.157,0.47,0.888,1,Wald ratio,0.918,0.729,1.157,0.47,0.892,TRUE,ns in both,TRUE
RANBP3,FALSE,19,1,Wald ratio,0.851,0.55,1.317,0.47,0.888,1,Wald ratio,0.851,0.55,1.317,0.47,0.892,TRUE,ns in both,TRUE
SERAC1,FALSE,6,4,Inverse variance weighted,0.973,0.903,1.048,0.47,0.888,4,Inverse variance weighted,0.973,0.903,1.048,0.47,0.892,TRUE,ns in both,TRUE
TRIM28,FALSE,19,1,Wald ratio,1.095,0.856,1.399,0.47,0.888,1,Wald ratio,1.095,0.856,1.399,0.47,0.892,TRUE,ns in both,TRUE
TSEN54,FALSE,17,1,Wald ratio,1.033,0.946,1.127,0.47,0.888,1,Wald ratio,1.033,0.946,1.127,0.47,0.892,TRUE,ns in both,TRUE
ZNF575,FALSE,19,1,Wald ratio,1.045,0.928,1.176,0.47,0.888,1,Wald ratio,1.045,0.928,1.176,0.47,0.892,TRUE,ns in both,TRUE
