gene,module
HECW2,yellow
HEMK1,brown
HEPH,yellow
HERC1,brown
HEXA,brown
HHEX,yellow
HHLA3,brown
HIC2,brown
HIF1A,yellow
HIGD1A,yellow
HIGD2A,brown
HINFP,brown
HINT2,brown
HIPK1,yellow
HIRIP3,brown
HIST1H1B,brown
HIST1H2AK,yellow
HIVEP1,yellow
HKR1,brown
HLA-A,brown
HLA-DMA,brown
HLA-DPA1,brown
HLA-DPB1,brown
HLA-DRB1,brown
HLCS,brown
HMBOX1,brown
HMGA1,brown
HMGB2,yellow
HMGCR,yellow
HMGN2,brown
HMGXB3,brown
HMGXB4,brown
HMOX2,brown
HN1L,brown
HNF4A,brown
HNMT,yellow
HNRNPA0,brown
HNRNPAB,brown
HNRNPF,brown
HNRNPL,brown
HNRNPM,brown
HNRNPU,brown
HNRNPUL1,brown
HOOK3,yellow
HORMAD1,yellow
HRAS,brown
HSD17B10,brown
HSD17B11,yellow
HSD17B7,brown
HSDL2,yellow
HSF1,brown
HSP90AB1,brown
HSPB1,brown
HSPBP1,brown
HTR7P1,yellow
HTT,brown
HUS1,brown
HVCN1,brown
HYI,brown
HYOU1,brown
ICAM2,brown
ICMT,brown
IDH1,yellow
IDH2,brown
IDH3A,brown
IDH3B,brown
IDH3G,brown
IDI1,yellow
IFFO1,brown
IFFO2,brown
IFNGR1,yellow
IFRD1,yellow
IFT172,brown
IFT27,brown
IGSF8,brown
IGSF9B,brown
IK,brown
IKBIP,yellow
IKBKB,brown
IKBKE,brown
IKZF1,brown
IKZF3,brown
IKZF4,brown
IL10RA,brown
IL11RA,brown
IL18,yellow
IL18BP,brown
IL18R1,yellow
IL19,yellow
IL21R,brown
IL27RA,brown
IL2RB,brown
IL2RG,brown
ILKAP,brown
ILVBL,brown
IMMT,brown
IMP4,brown
IMPDH2,brown
ING1,yellow
ING2,yellow
ING3,yellow
INO80,brown
INO80E,brown
INPP5B,brown
INTS1,brown
INTS12,yellow
INTS4,brown
INTS5,brown
INTS6,yellow
INTS9,brown
INVS,brown
IPO13,brown
IPO4,brown
IPO9,brown
IPP,brown
IQGAP2,yellow
IRAK1,brown
IRAK3,yellow
IRF2BP1,brown
IRF2BP2,brown
IRF3,brown
IRGQ,brown
ISOC2,brown
ISYNA1,brown
ITFG2,brown
ITGA1,yellow
ITGAL,brown
ITGB7,brown
ITIH4,brown
ITPA,brown
ITPKB,brown
IVD,brown
IVNS1ABP,yellow
JAG1,yellow
JAGN1,brown
JAK1,brown
JAK2,yellow
JKAMP,yellow
JMJD4,brown
JMJD8,brown
JOSD1,brown
JRK,brown
