gene,module,GS_RA,kME_own,is_disease_module
SLC25A25,green,-0.224,0.525,FALSE
SLC25A26,green,-0.085,0.534,FALSE
SLC25A27,grey,-0.036,0.096,FALSE
SLC25A28,brown,-0.129,0.409,TRUE
SLC25A29,grey,-0.13,-0.108,FALSE
SLC25A3,brown,-0.415,0.792,TRUE
SLC25A30,turquoise,0.197,0.615,FALSE
SLC25A31,grey,-0.154,0.037,FALSE
SLC25A32,turquoise,0.132,0.748,FALSE
SLC25A33,turquoise,0.129,0.488,FALSE
SLC25A34,blue,-0.11,0.411,FALSE
SLC25A35,brown,-0.315,0.451,TRUE
SLC25A36,turquoise,-0.057,0.353,FALSE
SLC25A37,black,-0.115,0.582,FALSE
SLC25A38,brown,-0.341,0.541,TRUE
SLC25A39,black,-0.299,0.917,FALSE
SLC25A4,grey,-0.222,-0.114,FALSE
SLC25A40,yellow,0.462,0.845,TRUE
SLC25A41,grey,0.046,-0.142,FALSE
SLC25A42,brown,-0.322,0.522,TRUE
SLC25A43,grey,-0.093,-0.202,FALSE
SLC25A44,blue,-0.137,0.831,FALSE
SLC25A45,brown,-0.504,0.802,TRUE
SLC25A46,turquoise,0.397,0.876,FALSE
SLC25A5,brown,-0.332,0.59,TRUE
SLC25A6,brown,-0.317,0.611,TRUE
SLC26A1,grey,0.008,-0.163,FALSE
SLC26A10,grey,-0.044,0.053,FALSE
SLC26A11,green,-0.286,0.592,FALSE
SLC26A2,turquoise,0.311,0.906,FALSE
SLC26A3,grey,-0.044,0.12,FALSE
SLC26A4,grey,0.102,0.124,FALSE
SLC26A6,blue,-0.221,0.524,FALSE
SLC26A7,grey,0.07,0.124,FALSE
SLC26A8,red,0.219,0.658,FALSE
SLC26A9,grey,-0.029,0.158,FALSE
SLC27A1,blue,-0.32,0.658,FALSE
SLC27A2,grey,0.053,0.019,FALSE
SLC27A3,blue,-0.248,0.52,FALSE
SLC27A4,blue,-0.253,0.525,FALSE
SLC27A5,green,-0.132,0.447,FALSE
SLC27A6,grey,0.144,0.242,FALSE
SLC28A1,grey,0.077,0.161,FALSE
SLC28A2,grey,-0.026,-0.013,FALSE
SLC28A3,grey,-0.084,0.084,FALSE
SLC29A1,tan,-0.117,0.87,FALSE
SLC29A2,grey,-0.261,0.046,FALSE
SLC29A3,blue,-0.198,0.442,FALSE
SLC29A4,grey,-0.161,0.072,FALSE
SLC2A1,black,-0.148,0.783,FALSE
SLC2A10,grey,-0.038,-0.055,FALSE
SLC2A11,brown,-0.034,0.348,TRUE
SLC2A12,grey,0.212,0.278,FALSE
SLC2A13,turquoise,0.431,0.846,FALSE
SLC2A2,grey,0.056,0.147,FALSE
SLC2A4,grey,-0.12,-0.154,FALSE
SLC2A4RG,green,-0.401,0.605,FALSE
SLC2A5,grey,0.025,0.073,FALSE
SLC2A6,brown,-0.313,0.477,TRUE
SLC2A8,grey,-0.225,-0.08,FALSE
SLC2A9,red,0.221,0.312,FALSE
SLC30A1,turquoise,0.495,0.784,FALSE
SLC30A10,grey,0.014,0.012,FALSE
SLC30A2,grey,0.056,0.026,FALSE
SLC30A3,blue,-0.063,0.451,FALSE
SLC30A4,turquoise,0.032,0.325,FALSE
SLC30A5,turquoise,0.258,0.553,FALSE
SLC30A6,turquoise,0.477,0.766,FALSE
SLC30A7,green,-0.324,0.707,FALSE
SLC30A8,grey,0.074,0.167,FALSE
SLC30A9,turquoise,0.435,0.874,FALSE
SLC31A1,blue,-0.068,0.628,FALSE
SLC31A2,red,0.235,0.697,FALSE
SLC32A1,grey,0.103,0.118,FALSE
SLC33A1,turquoise,0.222,0.801,FALSE
SLC34A1,grey,-0.07,0.163,FALSE
SLC34A2,grey,0.124,0.018,FALSE
SLC34A3,blue,-0.001,0.414,FALSE
SLC35A1,turquoise,0.482,0.834,FALSE
SLC35A2,blue,-0.011,0.507,FALSE
SLC35A3,turquoise,0.052,0.344,FALSE
SLC35A4,brown,-0.435,0.767,TRUE
SLC35A5,yellow,0.494,0.742,TRUE
SLC35B1,grey,-0.08,0.116,FALSE
SLC35B3,turquoise,0.466,0.83,FALSE
SLC35B4,turquoise,0.196,0.493,FALSE
SLC35C1,brown,-0.343,0.666,TRUE
SLC35C2,brown,-0.402,0.664,TRUE
SLC35D1,green,-0.226,0.399,FALSE
SLC35D2,brown,-0.136,0.324,TRUE
SLC35D3,magenta,-0.06,0.569,FALSE
SLC35E1,blue,-0.384,0.504,FALSE
SLC35E3,red,0.07,0.368,FALSE
SLC35E4,grey,0.073,-0.196,FALSE
SLC35F1,grey,0.015,0.19,FALSE
SLC35F2,green,-0.105,0.56,FALSE
SLC35F3,grey,-0.033,-0.091,FALSE
SLC35F4,grey,0.092,0.219,FALSE
SLC35F5,yellow,0.392,0.828,TRUE
SLC36A1,blue,0.141,0.366,FALSE
SLC36A4,yellow,0.347,0.583,TRUE
SLC37A1,brown,-0.211,0.325,TRUE
SLC37A2,blue,-0.091,0.307,FALSE
SLC37A3,yellow,0.524,0.809,TRUE
SLC37A4,brown,-0.278,0.51,TRUE
SLC38A1,turquoise,-0.137,0.55,FALSE
SLC38A10,blue,-0.43,0.749,FALSE
SLC38A11,grey,-0.047,0.048,FALSE
SLC38A2,turquoise,0.417,0.817,FALSE
SLC38A3,grey,0.033,0.184,FALSE
SLC38A4,grey,-0.039,0.144,FALSE
SLC38A5,black,-0.213,0.542,FALSE
SLC38A6,turquoise,0.402,0.733,FALSE
SLC38A7,brown,-0.237,0.485,TRUE
SLC38A9,turquoise,0.249,0.678,FALSE
SLC39A1,blue,0.013,0.562,FALSE
SLC39A10,turquoise,0.208,0.878,FALSE
SLC39A11,blue,-0.079,0.313,FALSE
SLC39A12,grey,-0.002,0.173,FALSE
SLC39A13,brown,-0.192,0.354,TRUE
SLC39A14,green,-0.216,0.582,FALSE
SLC39A2,grey,0.032,0.135,FALSE
SLC39A3,blue,-0.095,0.387,FALSE
SLC39A4,blue,-0.125,0.309,FALSE
SLC39A5,blue,-0.182,0.345,FALSE
SLC39A6,turquoise,0.263,0.798,FALSE
SLC39A7,blue,-0.055,0.496,FALSE
SLC39A8,turquoise,0.351,0.895,FALSE
SLC39A9,brown,-0.318,0.491,TRUE
SLC3A1,brown,-0.288,0.42,TRUE
SLC3A2,blue,-0.376,0.633,FALSE
SLC40A1,yellow,0.401,0.677,TRUE
SLC41A1,green,-0.498,0.753,FALSE
SLC41A2,grey,0.04,0.089,FALSE
SLC41A3,grey,-0.209,0.109,FALSE
SLC43A1,brown,-0.397,0.525,TRUE
SLC43A2,blue,-0.044,0.821,FALSE
SLC43A3,blue,-0.287,0.589,FALSE
SLC44A1,turquoise,0.4,0.464,FALSE
SLC44A2,blue,-0.256,0.894,FALSE
SLC44A3,grey,-0.113,0.136,FALSE
SLC44A4,grey,0.132,-0.045,FALSE
SLC44A5,grey,0.06,0.344,FALSE
SLC45A1,grey,-0.051,-0.028,FALSE
SLC45A2,grey,-0.108,0.086,FALSE
SLC45A3,grey,0.012,0.114,FALSE
SLC45A4,blue,0.062,0.605,FALSE
SLC46A1,grey,-0.001,0.109,FALSE
SLC46A2,blue,0.135,0.306,FALSE
SLC46A3,grey,-0.068,0.015,FALSE
SLC47A1,grey,0.013,-0.027,FALSE
SLC47A2,grey,-0.011,-0.127,FALSE
SLC48A1,black,-0.334,0.818,FALSE
SLC4A1,black,-0.14,0.909,FALSE
SLC4A10,turquoise,-0.146,0.325,FALSE
SLC4A11,grey,-0.028,-0.023,FALSE
SLC4A1AP,grey,0.127,0.355,FALSE
SLC4A2,blue,-0.164,0.535,FALSE
SLC4A3,grey,-0.161,0.093,FALSE
SLC4A4,greenyellow,-0.119,0.438,FALSE
SLC4A5,turquoise,0.163,0.302,FALSE
SLC4A7,turquoise,0.255,0.91,FALSE
SLC4A8,grey,0.144,0.208,FALSE
SLC4A9,grey,-0.009,0.202,FALSE
SLC5A1,grey,-0.049,0.107,FALSE
SLC5A10,grey,0.067,-0.054,FALSE
SLC5A11,grey,0.055,-0.159,FALSE
SLC5A12,grey,0.158,0.135,FALSE
SLC5A2,brown,-0.208,0.318,TRUE
SLC5A3,turquoise,0.223,0.651,FALSE
SLC5A4,grey,0.098,0.12,FALSE
SLC5A5,grey,-0.167,-0.059,FALSE
SLC5A6,brown,-0.433,0.669,TRUE
SLC5A7,grey,0.116,0.234,FALSE
SLC5A8,grey,0.03,0.313,FALSE
SLC5A9,red,0.304,0.537,FALSE
SLC6A1,grey,-0.028,0.052,FALSE
SLC6A11,blue,-0.194,0.379,FALSE
SLC6A12,blue,0.026,0.349,FALSE
SLC6A13,grey,-0.078,0.189,FALSE
SLC6A14,grey,0.095,0.337,FALSE
SLC6A15,grey,0.092,0.084,FALSE
SLC6A16,brown,-0.339,0.449,TRUE
SLC6A17,grey,-0.182,0.133,FALSE
SLC6A18,grey,-0.161,0.056,FALSE
SLC6A19,grey,-0.051,0.179,FALSE
SLC6A2,grey,-0.209,0.152,FALSE
SLC6A20,grey,-0.007,0.015,FALSE
SLC6A3,grey,-0.112,0.115,FALSE
SLC6A4,grey,-0.097,0.182,FALSE
SLC6A5,grey,-0.065,0.067,FALSE
SLC6A6,red,0.048,0.756,FALSE
SLC6A7,grey,-0.109,-0.147,FALSE
SLC6A8,black,-0.254,0.93,FALSE
SLC6A9,black,-0.154,0.707,FALSE
SLC7A1,brown,-0.297,0.479,TRUE
SLC7A10,grey,0.097,0.136,FALSE
SLC7A11,yellow,0.339,0.586,TRUE
SLC7A13,grey,-0.021,0.224,FALSE
SLC7A14,grey,0.033,0.358,FALSE
SLC7A2,grey,-0.034,0.047,FALSE
SLC7A3,grey,-0.035,0.225,FALSE
SLC7A4,grey,0.06,-0.122,FALSE
SLC7A5,black,-0.191,0.815,FALSE
SLC7A6,green,-0.407,0.742,FALSE
