gene,logFC_unadj,P_unadj,FDR_unadj,logFC_adj,P_adj,FDR_adj,sig_unadjusted,sig_adjusted,status
DCAF12L2,-0.00971242878162939,0.728188208785037,0.827691861485329,0.00499655903921456,0.864245998378382,0.93206825892436,FALSE,FALSE,ns in both
DNAH8,-0.00165490334681563,0.958933043908606,0.97482662009102,-0.00580158706013922,0.864321685557097,0.932086114075153,FALSE,FALSE,ns in both
KCTD13,-0.0465902676163856,0.134090504758056,0.24620484874796,-0.00546871141171668,0.864809312844104,0.932540780291418,FALSE,FALSE,ns in both
HMX2,-0.0160426976928285,0.545865440833513,0.685124368489423,-0.00475903576981324,0.864861616892739,0.932540780291418,FALSE,FALSE,ns in both
LOC642852,0.0770158594717471,0.208917217771088,0.344373337321589,0.0105883588642146,0.865068513513542,0.932700066929819,FALSE,FALSE,ns in both
GINS2,-0.0292875768710946,0.561080379461034,0.6980586860322,0.00902726419438671,0.865192611919012,0.932751530039653,FALSE,FALSE,ns in both
FBRS,-0.126777144274772,0.0142996459676658,0.0406795378791402,-0.00770227221100024,0.865244705205902,0.932751530039653,TRUE,FALSE,lost to composition
S100A7,-0.00585811835832324,0.876963772634927,0.927601023604411,-0.00684418377090829,0.865293765385387,0.932751530039653,FALSE,FALSE,ns in both
CDKN2A,-0.00670862896289955,0.843587123739708,0.906933831094599,-0.00602479848524592,0.865524044211231,0.93293596204196,FALSE,FALSE,ns in both
FGF1,0.00355851372809661,0.89615729186635,0.938114450238363,-0.00489810214570845,0.865735532681513,0.933051590687717,FALSE,FALSE,ns in both
FRMD5,0.00054107927617185,0.987117564197327,0.991647069303579,0.00602664112778212,0.865749702810286,0.933051590687717,FALSE,FALSE,ns in both
BIN2,-0.0421207307435604,0.165558673842184,0.289291805318075,-0.00486514235607836,0.866123538307118,0.933350931765281,FALSE,FALSE,ns in both
MYLK4,0.0291141017330133,0.621481514451469,0.747145075350205,-0.0105674142601805,0.866145875141948,0.933350931765281,FALSE,FALSE,ns in both
ZNF662,-0.0390947874574074,0.539027680848096,0.67946368118421,-0.0113323914470423,0.8664101076424,0.933571845428064,FALSE,FALSE,ns in both
CCDC136,-0.0330710186893299,0.388520795491337,0.540273781433824,-0.00676404321504097,0.866490607838237,0.933594767693378,FALSE,FALSE,ns in both
ZNF568,0.0377751315591744,0.370755617675805,0.523164692945915,0.00734354083909658,0.86660125759566,0.93361744054677,FALSE,FALSE,ns in both
PSMA7,0.00621220171365441,0.829945937289788,0.897938827480505,-0.00520309960879607,0.866630107852588,0.93361744054677,FALSE,FALSE,ns in both
PPP1R10,-0.145840978023401,0.00876246164528253,0.0270881904127453,-0.0078131073960591,0.866808553662716,0.933745864237367,TRUE,FALSE,lost to composition
TEKT2,0.00309280891646526,0.93476715721867,0.959855038710045,0.00668761891495492,0.867033015430512,0.933777630051311,FALSE,FALSE,ns in both
