gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
ISM1,0.205011085743537,4.4015171324216,2.98868796925729,0.00318204151667555,0.00830301612768691,TRUE,Up in RA
KLK14,-0.123615516541869,3.7667394246888,-2.98836165318118,0.00318528257057041,0.00831009751074169,TRUE,Down in RA
DUOXA2,-0.0739455067148866,3.35560144732472,-2.98708164490092,0.00319802524142035,0.00834196125773772,FALSE,ns
TRAF4,-0.132460637331101,5.16127743780613,-2.98663020682461,0.00320253053377972,0.00835233103970379,TRUE,Down in RA
USP8,0.0724998041138144,9.32335569092857,2.98593483520445,0.00320948165998837,0.0083690751706198,FALSE,ns
C9orf16,-0.0978063510102042,6.83590520185874,-2.98488683526684,0.00321998394477876,0.00839507226621694,FALSE,ns
SPAG16,0.200054090684166,5.58119823856789,2.9846814436082,0.0032220459251653,0.00839905902404177,TRUE,Up in RA
ZNF7,0.103284018715069,6.43930965184203,2.98458307452003,0.00322303390759092,0.00840024528527705,TRUE,Up in RA
CEACAM6,0.318406658040523,4.35022726031367,2.98443568286736,0.00322451477524941,0.00840228886635363,TRUE,Up in RA
AQP4,0.0752316796797844,2.98979030277326,2.98439893613386,0.00322488407292009,0.00840228886635363,FALSE,ns
RAPGEF2,0.109775105157264,10.1170110968822,2.98414410605134,0.00322744613581632,0.00840757452303299,TRUE,Up in RA
TAF5L,0.0824540875780728,7.25196339080501,2.98398404020643,0.00322905639453561,0.00840850702107705,FALSE,ns
ST8SIA2,-0.0747004305559172,3.26742012822517,-2.98396873343966,0.00322921041891126,0.00840850702107705,FALSE,ns
CCDC102A,-0.11881093573903,4.1163970428409,-2.98394945709975,0.00322940439672654,0.00840850702107705,TRUE,Down in RA
SNAP23,0.0607395382301959,11.0984484025702,2.98357155725812,0.00323320936535045,0.00841702381932602,FALSE,ns
ZNF784,-0.130648604103798,5.47445935483445,-2.9834804673086,0.00323412714049751,0.00841738980997975,TRUE,Down in RA
ALDH1L1,-0.105042869621757,4.08091133987816,-2.98340398375229,0.00323489793400437,0.00841738980997975,TRUE,Down in RA
CLINT1,0.0865595894895075,10.2443397375265,2.98339862528168,0.00323495194245114,0.00841738980997975,FALSE,ns
SLC22A17,-0.105442299431715,4.37837444090641,-2.9833355036347,0.00323558821284402,0.00841765588365412,TRUE,Down in RA
PXMP4,-0.134172783889744,6.06503764524015,-2.98309760575775,0.00323798727241124,0.0084225071575938,TRUE,Down in RA
PADI3,-0.081593275890393,3.47222892049248,-2.98293634855393,0.00323961438506692,0.00842534920835009,FALSE,ns
MAP2K1,-0.0778532353811844,9.94242813338941,-2.98222699333012,0.00324678082200366,0.00844259420937706,FALSE,ns
TPPP3,-0.20016984170285,5.20034286947811,-2.98212536955921,0.0032478086929405,0.0084438740601717,TRUE,Down in RA
LENG1,-0.109949364433348,4.67561476967271,-2.98074518415292,0.00326179816736422,0.00847884639052807,TRUE,Down in RA
PLLP,-0.126119919365804,3.50785958349233,-2.98038898489181,0.0032654175545989,0.00848685522063354,TRUE,Down in RA
RAB3GAP1,-0.0779143203440038,8.25571597115955,-2.97973043347409,0.00327211889685134,0.00850287012381597,FALSE,ns
GCAT,-0.122505018528385,4.56978859906119,-2.97964196005273,0.00327302015379244,0.008503261906882,TRUE,Down in RA
LPL,0.186120085266378,3.68766055046911,2.97960972768467,0.00327334855363573,0.008503261906882,TRUE,Up in RA
XRCC3,-0.0885174916315169,4.3053945194446,-2.97898036138442,0.00327976692627141,0.00851853123394566,FALSE,ns
MMP24,-0.101326036633238,5.1659705052944,-2.97793475964797,0.00329045568614875,0.00854488516981264,TRUE,Down in RA
SUOX,-0.152312751713164,6.1063215551669,-2.97758969119301,0.00329399019446535,0.00855265482381111,TRUE,Down in RA
GAL3ST2,-0.101267579391103,3.88864402993475,-2.97698304878625,0.00330021243704334,0.00856739931573026,TRUE,Down in RA
FBXL17,0.113708478426482,7.56542145226619,2.9762818577224,0.00330741789738241,0.00858469097916004,TRUE,Up in RA
RTN4,0.0563357546369944,11.3915606054823,2.97605640568164,0.00330973771645778,0.008589297929622,FALSE,ns
ZNF696,-0.112416704153737,4.56458310677177,-2.97582884137288,0.00331208078500451,0.00859396368955163,TRUE,Down in RA
IRF4,-0.156430594195551,8.01194933934606,-2.97427299868178,0.00332814104192175,0.00863421449042338,TRUE,Down in RA
NIPA1,0.164934281471925,6.63371503268584,2.97393714333091,0.00333161729371857,0.00864181066330193,TRUE,Up in RA
