gene,logFC_unadj,P_unadj,FDR_unadj,logFC_adj,P_adj,FDR_adj,sig_unadjusted,sig_adjusted,status
TRAF6,-0.066649010766625,0.38624835343483,0.534635826764421,0.0914393927739852,0.344435632658234,0.605919491809622,FALSE,FALSE,ns in both
KCNMB3,0.0804029693333631,0.347249367513905,0.494864097289729,-0.105149429683292,0.344473015031973,0.605919491809622,FALSE,FALSE,ns in both
HEATR5B,-0.0753471453794115,0.27135293682109,0.414906715566451,-0.0857684275154625,0.34453928360846,0.605919491809622,FALSE,FALSE,ns in both
NVL,-0.0790536883199292,0.324694232663578,0.471327241866735,-0.0987164865243853,0.344545805208294,0.605919491809622,FALSE,FALSE,ns in both
S100P,0.585097797153888,0.053022764499165,0.11788403904095,0.339709388136045,0.344546971205955,0.605919491809622,FALSE,FALSE,ns in both
LAD1,-0.192489141798786,0.0174587108727278,0.0477868830615076,-0.0997480200098461,0.344604119016697,0.605919491809622,TRUE,FALSE,lost to composition
MYH2,0.0285299421580294,0.586772994359166,0.712543070462828,0.0639776101969796,0.344630188425362,0.605919491809622,FALSE,FALSE,ns in both
WDR78,0.0198953912989865,0.794633052309112,0.869447414310252,-0.0963995637354634,0.344631461258202,0.605919491809622,FALSE,FALSE,ns in both
C19orf70,-0.0237805163123946,0.702602829439417,0.803418817588214,-0.0820316982533145,0.344647222201679,0.605919491809622,FALSE,FALSE,ns in both
SCAMP4,-0.385644495267713,0.000166172491746253,0.00101881640894445,-0.109114488486616,0.344804628394475,0.606128622435833,TRUE,FALSE,lost to composition
ECHDC3,0.0556110488944103,0.748369662670275,0.837347458310018,0.160842278154177,0.344877638623944,0.606178260084625,FALSE,FALSE,ns in both
CYP4F8,-0.0135128559444386,0.833787782403375,0.896442061156777,0.0806183545995257,0.344909776990357,0.606178260084625,FALSE,FALSE,ns in both
RFC2,-0.0138828518479271,0.900630762039801,0.940548741356392,0.135912124388692,0.345072343458373,0.606365626034565,FALSE,FALSE,ns in both
ITIH3,-0.0153278108182981,0.76299403963361,0.848379693933739,-0.0651323239963962,0.345097201354377,0.606365626034565,FALSE,FALSE,ns in both
ASPA,0.0153474425671345,0.760088001735634,0.846234373370732,0.065855023854222,0.345153682812306,0.606365626034565,FALSE,FALSE,ns in both
LMF2,-0.329462557414185,0.000561732323272827,0.00274159439976135,-0.102238988683844,0.345170257083559,0.606365626034565,TRUE,FALSE,lost to composition
NTNG1,0.0846872303590479,0.164974001778392,0.285704811034146,0.078937713998016,0.345402572614303,0.606706123481086,FALSE,FALSE,ns in both
GRM6,-0.0453170572825511,0.468525025569686,0.612232444504266,-0.0807506780740144,0.34552805909418,0.606796428297984,FALSE,FALSE,ns in both
NME7,0.13338977954297,0.235822129828779,0.374007871263813,-0.131034997441383,0.345530973824951,0.606796428297984,FALSE,FALSE,ns in both
EIF1AX,0.376262673866421,0.000908462704398659,0.00408911981994177,0.106709568180977,0.345646757061194,0.606932141200356,TRUE,FALSE,lost to composition
KCNA5,-0.0607114872850164,0.311068791102915,0.457716462061544,-0.0784124041412389,0.345760456242586,0.607064164819768,FALSE,FALSE,ns in both
COL19A1,0.0562916671726175,0.281446131692643,0.425475723973447,0.0648815964772965,0.345876962631651,0.607201087199322,FALSE,FALSE,ns in both
STEAP2,0.109719474076161,0.195097440802414,0.325086782174254,0.106801331908694,0.346149448776061,0.607526961311422,FALSE,FALSE,ns in both
WISP3,0.45535938214854,0.00199345756978674,0.00789717810317877,0.176962526230663,0.34620711424603,0.607526961311422,TRUE,FALSE,lost to composition
AGPAT2,-0.0294570103346144,0.730346145600274,0.82443757469902,0.096555518209488,0.346209367312688,0.607526961311422,FALSE,FALSE,ns in both
ANKRD10,0.22603906655929,0.00118214542782126,0.00509547672374803,0.0757624126258651,0.346227700888517,0.607526961311422,TRUE,FALSE,lost to composition
CLDN1,0.0752515179531973,0.139100644429659,0.250440345395598,0.0595958231095769,0.346255295338566,0.607526961311422,FALSE,FALSE,ns in both
THG1L,0.185866646396485,0.0106287390868409,0.0316712314226603,0.089220127922551,0.346338507972987,0.607592471035742,TRUE,FALSE,lost to composition
ZDHHC18,-0.178112607638339,0.192501993733018,0.321850755962407,0.144688584735641,0.346369723068399,0.607592471035742,FALSE,FALSE,ns in both
DOK6,0.0720530967335826,0.445448472800951,0.592160678129128,0.122136722780947,0.346461703576473,0.607686194889947,FALSE,FALSE,ns in both
C17orf74,-0.0422086867750352,0.462954362353471,0.607428766041654,0.0705713449132382,0.346744305636957,0.608114206692852,FALSE,FALSE,ns in both
UHMK1,-0.054470115305035,0.440855788547531,0.587571640726705,-0.0889229647461847,0.346802893102728,0.608149294023618,FALSE,FALSE,ns in both
TTBK2,0.207984129169394,0.0617599239509597,0.132976598994533,0.144590740306972,0.346859705686633,0.608181261483692,FALSE,FALSE,ns in both
ATRN,-0.238350402982388,0.00520649365931303,0.0175513172694079,-0.102019862107992,0.347014537060106,0.608381491655483,TRUE,FALSE,lost to composition
HLA-DQB1,-0.0296631029867836,0.936783961582408,0.961863313341812,-0.444196865973022,0.347075937108483,0.608381491655483,FALSE,FALSE,ns in both
ARX,0.111242654407781,0.118890507524985,0.22188859461477,0.0907201183189995,0.347091060773981,0.608381491655483,FALSE,FALSE,ns in both
RAB2B,-0.24417100470385,0.120164626116695,0.223710287171071,-0.189002892737205,0.347128283699132,0.608381491655483,FALSE,FALSE,ns in both
TFAP2B,0.0911260812504655,0.434158377297949,0.581200721982808,0.135126835118871,0.347381889016523,0.608758278662308,FALSE,FALSE,ns in both
GOLIM4,0.13146272086878,0.347765812568959,0.495420922144104,-0.174125081169224,0.347468073488227,0.608787539774886,FALSE,FALSE,ns in both
TRAF5,-0.0891193280914164,0.403714656376066,0.552409212539578,-0.110060512845684,0.347492242377979,0.608787539774886,FALSE,FALSE,ns in both
LENEP,-0.101695834217867,0.192030988949045,0.321335931932463,-0.0947094480636883,0.347540459753536,0.608787539774886,FALSE,FALSE,ns in both
TCEB3B,0.0162348040620111,0.75401657282021,0.841277126087554,0.0670634835680641,0.347553071777847,0.608787539774886,FALSE,FALSE,ns in both
LMF1,-0.146773586387172,0.110157272505234,0.209281557972762,-0.113961047758063,0.347597813343856,0.608798259082134,FALSE,FALSE,ns in both
TNN,0.0471105345383322,0.446159651044183,0.592786124360204,0.0793663494625113,0.347768762960538,0.608971085514546,FALSE,FALSE,ns in both
PLGLB2,-0.130469123193468,0.435193602377045,0.582240430679796,0.201859482342641,0.347817340806646,0.608971085514546,FALSE,FALSE,ns in both
ANKRD44,-0.230509734285006,0.0126914550914655,0.0367276311009308,-0.110263936397726,0.347817796894001,0.608971085514546,TRUE,FALSE,lost to composition
PRRC1,0.245071839941314,0.00202801402723198,0.00801594411014487,0.0865416230920818,0.347851021631223,0.608971085514546,TRUE,FALSE,lost to composition
C8orf4,0.102904133625272,0.0624385917412479,0.133998573399223,0.0645733211544177,0.347935394519752,0.608987271323424,FALSE,FALSE,ns in both
KCNT1,0.040416046177436,0.499613470267469,0.639445203948207,0.0795522783827044,0.347937535084613,0.608987271323424,FALSE,FALSE,ns in both
LPCAT4,-0.166200681909514,0.0276654172084101,0.0694352589485599,-0.0887387507533863,0.348065491699147,0.609084191742766,FALSE,FALSE,ns in both
CPLX2,-0.0495622291942098,0.358009795913943,0.505536899846949,-0.0662421937994858,0.348085700845273,0.609084191742766,FALSE,FALSE,ns in both
SERINC3,-0.0130134631711914,0.807158085720006,0.878615627733199,0.0651454730572293,0.348141727521182,0.609084191742766,FALSE,FALSE,ns in both
VANGL2,0.0145363172035892,0.897467856738561,0.938551438052805,0.140042365474883,0.348174526113414,0.609084191742766,FALSE,FALSE,ns in both
ARC,-0.0139018857549285,0.786962883946973,0.864586388460741,-0.0662682990822719,0.348205467405131,0.609084191742766,FALSE,FALSE,ns in both
NMU,0.288455995781034,0.00623144392765537,0.0203409092217088,0.121125482541873,0.348224750110119,0.609084191742766,TRUE,FALSE,lost to composition
GPR107,-0.282235129054094,0.00158863673518288,0.00654171391240537,-0.0945012625106155,0.348280208619051,0.609089122933188,TRUE,FALSE,lost to composition
FCRL5,-0.432086670938496,0.0764993470219526,0.156931182601124,-0.282145604586015,0.348304850226464,0.609089122933188,FALSE,FALSE,ns in both
SNORA37,0.0496823418689653,0.425019826494809,0.57236971593658,0.0814812511932711,0.348399395030379,0.609131494044137,FALSE,FALSE,ns in both
KLHL36,0.0367214322751429,0.528622907877229,0.663694376492932,0.0783429435234754,0.348406366193107,0.609131494044137,FALSE,FALSE,ns in both
DHX40,0.0861746402742174,0.133745789878204,0.242833049745645,0.0720638334551444,0.34846673382923,0.609169471592565,FALSE,FALSE,ns in both
HDAC9,0.484378799019782,0.00171323485263829,0.00697281719136001,0.156207737916235,0.348598425437276,0.609332111351495,TRUE,FALSE,lost to composition
AHRR,-0.013049967576119,0.88910441266482,0.933337300299454,0.124215051682425,0.348685810479219,0.609417278033476,FALSE,FALSE,ns in both
CNOT6,0.300483790069282,0.000592011537724223,0.00286517588859285,0.0972426830907341,0.348761917344921,0.60948271653082,TRUE,FALSE,lost to composition
DEPDC4,0.0655711918221158,0.172626360652391,0.295804905203134,0.062185283340165,0.348850503946738,0.609569947202354,FALSE,FALSE,ns in both
SNX33,-0.111963749975051,0.124770030312914,0.23029051103296,-0.0860763036406111,0.348968986932974,0.609709392709429,FALSE,FALSE,ns in both
ATP9B,-0.0826857021949029,0.352681606103092,0.500383928416735,-0.117656298076091,0.349073330252347,0.609824105593234,FALSE,FALSE,ns in both
MGST3,0.000908879814376037,0.991583724670302,0.995199082028283,-0.111409094741897,0.349504514862723,0.610509714958012,FALSE,FALSE,ns in both
GPR85,0.00429633481852766,0.951456704925643,0.971471206574059,0.0876604694781236,0.349563214729425,0.610543192303756,FALSE,FALSE,ns in both
CHI3L1,-0.402955675774166,0.0579443998727052,0.126226862243429,-0.244323081033118,0.34960114532346,0.610543192303756,FALSE,FALSE,ns in both
IRS4,-0.0569868128679049,0.223613888232119,0.359895232358982,-0.0598390311733548,0.349648600158524,0.610558422986464,FALSE,FALSE,ns in both
ZNF425,-0.107684675316886,0.198398458280157,0.329056702216973,-0.103395881781493,0.34972048815468,0.610616310897455,FALSE,FALSE,ns in both
CRTAP,-0.0801553536851116,0.204878946198768,0.337285308504562,-0.0799631373659138,0.349841667692846,0.610651618136999,FALSE,FALSE,ns in both
RPL30,0.209742639962138,0.00151708274280823,0.00627493447254951,0.0719802516194555,0.349854249342041,0.610651618136999,TRUE,FALSE,lost to composition
MPHOSPH8,-0.15940343677028,0.0290222716234765,0.0721346684958783,-0.0885821546364643,0.349856928465092,0.610651618136999,FALSE,FALSE,ns in both
CD40,-0.0974974153142945,0.379941320540733,0.52817841394158,0.118211113445829,0.350031093524172,0.610823186903999,FALSE,FALSE,ns in both
MGRN1,-0.439126400175549,0.000138193457490183,0.000879783307923163,-0.0976413661629978,0.350051964950282,0.610823186903999,TRUE,FALSE,lost to composition
FPR3,0.112270062708753,0.30051653785109,0.446975107203881,-0.130393842351463,0.350072181605626,0.610823186903999,FALSE,FALSE,ns in both
MOBP,0.0189826534874227,0.767784393006803,0.851754900905499,-0.0841649052239487,0.350110226078642,0.610823186903999,FALSE,FALSE,ns in both
CYB5B,-0.0386505966612822,0.517517452280755,0.654451421353704,-0.07652943199685,0.35016083000439,0.610828946955575,FALSE,FALSE,ns in both
PCP4L1,-0.0265459400312359,0.626763339659902,0.744231301172055,-0.0697080493730431,0.350191029222707,0.610828946955575,FALSE,FALSE,ns in both
TMEM198,0.0715122552198689,0.333261270354049,0.480270378916701,0.0956352289719759,0.350351148700359,0.611040623695924,FALSE,FALSE,ns in both
CYB561,-0.303440397115205,0.0128420731946725,0.0371021993708987,-0.149117941566165,0.350487221177751,0.611106478383345,TRUE,FALSE,lost to composition
GYG2,0.0458732516726332,0.448807377761121,0.595000058507027,-0.0753176311949709,0.350491089891513,0.611106478383345,FALSE,FALSE,ns in both
DLAT,0.415403244809279,0.00320554536897782,0.0117564010356439,0.151766659700993,0.350505212907684,0.611106478383345,TRUE,FALSE,lost to composition
RBL1,0.117475478047284,0.289224638000809,0.434319135829928,-0.129314449776071,0.35058628117297,0.611180220098376,FALSE,FALSE,ns in both
PXN,-0.280970763011915,0.001618882157548,0.00664196758183998,-0.0842093425970971,0.350753280562187,0.611403733440424,TRUE,FALSE,lost to composition
LCE2B,-0.0378478559946515,0.493781141937665,0.634091416730216,-0.0684933204318738,0.350859426991381,0.61152113530132,FALSE,FALSE,ns in both
THBS3,-0.206109072600379,0.0214313772708242,0.0563883825605077,-0.102321879689559,0.350911298716507,0.611543925004787,FALSE,FALSE,ns in both
LIPC,-0.470816425693081,0.0366106685382746,0.0875180418818354,-0.277532132071615,0.351344585979007,0.61207771706488,FALSE,FALSE,ns in both
FGG,0.139280366319243,0.00227188607791532,0.00880760950471697,0.0545742571821576,0.351368069800985,0.61207771706488,TRUE,FALSE,lost to composition
UBE2D2,-0.0724957325194242,0.133729659449915,0.242833049745645,-0.0611093075123251,0.351471026692429,0.61207771706488,FALSE,FALSE,ns in both
PNMAL1,-0.0775472250117371,0.221638559053866,0.357520324024365,-0.0814243332719797,0.351474741302798,0.61207771706488,FALSE,FALSE,ns in both
USH1C,0.00822731928011651,0.883638375483238,0.930074232955547,0.0708601575214652,0.351571075803626,0.61207771706488,FALSE,FALSE,ns in both
